gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
FTH1	1.93772411207554	1	1	1.97139326685034e-09	4.83208203637688e-05	42	28
CTSB	-2.71660158767674	0.19	0.786	6.88720482166755e-07	0.0168812277383893	42	28
MT1G	-2.06881408903019	0.238	0.75	1.40298705931944e-05	0.343886158109787	42	28
GAPDH	1.68509645277331	0.881	0.5	2.07567430257842e-05	0.508768528304996	42	28
MCU	-3.00642812274917	0.071	0.536	2.18837678128495e-05	0.536393032860755	42	28
KIDINS220	-7.13072293815303	0	0.357	3.67142115537046e-05	0.899902039392854	42	28
HBE1	9.56690456217831	0.095	0	0.0981495569991986	1	42	28
ABR	-7.0892126539442	0	0.321	0.00010220506782017	1	42	28
MMP12	-6.86020472216894	0	0.25	0.000742146792806096	1	42	28
CD163	-6.70052091219372	0	0.25	0.000742146792806096	1	42	28
SHLD2	-6.65659237061684	0	0.321	0.000102162803911517	1	42	28
CDKN1A	6.62662156560941	0.238	0	0.00599215495823319	1	42	28
LINC03000	-6.60671699213957	0	0.179	0.0050204598595292	1	42	28
NRP2	-6.44031946838954	0	0.25	0.000742146792806096	1	42	28
SPTA1	6.41987784742646	0.143	0	0.0392446646594294	1	42	28
ARL4C	6.33210722855897	0.167	0	0.0247570352561681	1	42	28
MICAL3	-6.29220870137353	0	0.107	0.0327563692535534	1	42	28
AMPD3	-6.25547604848748	0	0.143	0.0128360016477947	1	42	28
GPATCH1	-6.2486957604227	0	0.214	0.00194443310429504	1	42	28
ACOX1	-6.23049633664526	0	0.179	0.0050204598595292	1	42	28
APEH	-6.22142205951118	0	0.179	0.0050204598595292	1	42	28
TBC1D1	6.2116435601781	0.167	0	0.0247570352561681	1	42	28
IRF9	-6.19901598631628	0	0.143	0.0128360016477947	1	42	28
ATP6V1F	6.1898052688131	0.286	0	0.00222877118965168	1	42	28
ALS2	-6.15544257909773	0	0.107	0.0327563692535534	1	42	28
CCP110	-6.15380174792441	0	0.143	0.0128360016477947	1	42	28
AQP4-AS1	-6.15201396450978	0	0.107	0.0327563692535534	1	42	28
ACCS	-6.0982150470062	0	0.179	0.0050204598595292	1	42	28
SCAMP2	-6.0549076153192	0	0.179	0.0050204598595292	1	42	28
ARID3A	-6.03954675807882	0	0.214	0.00194443310429504	1	42	28
PAK1IP1	-6.02555794174374	0	0.214	0.00194443310429504	1	42	28
SLC9A9	-6.0012296781983	0	0.143	0.0128360016477947	1	42	28
KLHL6	-5.99401318212083	0	0.179	0.0050204598595292	1	42	28
CTNNA1	-5.98156734762257	0.024	0.286	0.00116901073176495	1	42	28
TMEM273	-5.96798297605894	0	0.107	0.0327563692535534	1	42	28
JADE2	-5.95079905137298	0	0.179	0.0050204598595292	1	42	28
CHID1	-5.94264448426379	0	0.143	0.0128360016477947	1	42	28
DENND4C	-5.93036107525635	0	0.214	0.00194443310429504	1	42	28
CFAP36	5.92988277043662	0.143	0	0.0392446646594294	1	42	28
POLE	-5.92978745856642	0	0.179	0.0050204598595292	1	42	28
KIF16B	-5.9245473322705	0	0.143	0.0128360016477947	1	42	28
STON2	-5.91788149640457	0	0.143	0.0128360016477947	1	42	28
PLEC	-5.89185894909198	0	0.179	0.0050204598595292	1	42	28
CCDC57	-5.88731997315349	0	0.143	0.0128360016477947	1	42	28
IGSF6	-5.88568262735997	0.024	0.25	0.00316527047325102	1	42	28
PLXND1	-5.86102403036712	0	0.143	0.0128360016477947	1	42	28
PIGL	-5.85711772351698	0	0.143	0.0128360016477947	1	42	28
ZNF75D	-5.8435599370928	0	0.179	0.0050204598595292	1	42	28
INPP5B	-5.84348312370041	0	0.179	0.0050204598595292	1	42	28
SSU72	-5.83836875010618	0	0.143	0.0128360016477947	1	42	28
ECHDC2	-5.83286347100996	0	0.143	0.0128360016477947	1	42	28
PPID	5.83286308277726	0.214	0	0.00968823717112774	1	42	28
SAMD9L	-5.82850493119691	0	0.179	0.0050204598595292	1	42	28
SLC1A3	-5.82734126754596	0	0.214	0.00194443310429504	1	42	28
CWC22	-5.82414339567011	0	0.143	0.0128360016477947	1	42	28
ANKRD10	-5.8218356356398	0.024	0.214	0.0083731901840475	1	42	28
SS18	-5.81439936521577	0.024	0.321	0.000421286070947921	1	42	28
LIN7A	-5.81122313036681	0	0.107	0.0327563692535534	1	42	28
MAGT1	-5.80867863913645	0	0.143	0.0128360016477947	1	42	28
MMP8	5.8035064463414	0.095	0	0.0981495569991986	1	42	28
PRDX2	5.79981042069355	0.143	0	0.0392446646594294	1	42	28
MRPS35	5.77096430756261	0.119	0	0.0620408228193489	1	42	28
ENSG00000273118	-5.76667862977941	0	0.071	0.0847460821233674	1	42	28
PMS1	-5.74650816740094	0	0.107	0.0327563692535534	1	42	28
TNKS2	5.73661370600686	0.19	0	0.0155392172940299	1	42	28
PRMT3	-5.73343276645859	0	0.179	0.0050204598595292	1	42	28
LIN7C	5.72550934355482	0.167	0	0.0247570352561681	1	42	28
MACO1	-5.72063004501607	0	0.143	0.0128360016477947	1	42	28
STAT6	-5.71937472682632	0	0.143	0.0128360016477947	1	42	28
PSMG1	5.71613774619877	0.119	0	0.0620408228193489	1	42	28
LRRK1	-5.71431939101469	0	0.143	0.0128360016477947	1	42	28
RAB18	5.71141970351584	0.143	0	0.0392446646594294	1	42	28
CIR1	5.7077761742942	0.167	0	0.0247570352561681	1	42	28
ATG16L2	5.68034954346277	0.119	0	0.0620293676001703	1	42	28
TPT1-AS1	-5.67721062435597	0	0.143	0.0128360016477947	1	42	28
HIVEP2	-5.6734262152103	0	0.179	0.0050204598595292	1	42	28
TMEM268	-5.66718779624349	0	0.071	0.0847460821233674	1	42	28
ITPRIP	-5.66106043527268	0	0.107	0.0327563692535534	1	42	28
TNPO3	-5.65338320997978	0.024	0.286	0.00116866600987163	1	42	28
TGFA	-5.65058450386988	0	0.071	0.0847460821233674	1	42	28
DHX38	-5.64933899788765	0	0.107	0.0327563692535534	1	42	28
NHLRC3	-5.64391251481276	0	0.143	0.0128360016477947	1	42	28
CLEC16A	-5.63794375591902	0	0.107	0.0327563692535534	1	42	28
TANGO2	-5.61127239117181	0	0.107	0.0327563692535534	1	42	28
CCSER2	-5.59679808165203	0	0.143	0.0128360016477947	1	42	28
MED12L	-5.59369998658762	0	0.071	0.0847460821233674	1	42	28
CD84	-5.58933700344403	0.024	0.214	0.0083731901840475	1	42	28
RUNX3	5.58423404402657	0.119	0	0.0620408228193489	1	42	28
NCAM2	-5.57390694530569	0	0.107	0.0327563692535534	1	42	28
C1D	5.56074690816157	0.143	0	0.0392446646594294	1	42	28
PHACTR4	-5.55902927111871	0	0.107	0.0327563692535534	1	42	28
ACOT11	-5.55615868579895	0	0.107	0.0327563692535534	1	42	28
BAMBI	-5.5456475560787	0	0.107	0.0327563692535534	1	42	28
CA8	-5.54078807154704	0	0.071	0.0847460821233674	1	42	28
JOSD1	-5.53961001020604	0	0.179	0.0050204598595292	1	42	28
LRRC58	-5.53637247959123	0	0.143	0.0128360016477947	1	42	28
MT1M	-5.5332853507982	0	0.107	0.0327563692535534	1	42	28
SCFD1	5.5279111822365	0.143	0	0.0392446646594294	1	42	28
MIR3142HG	-5.52362443525788	0	0.107	0.0327563692535534	1	42	28
CLU	-5.52331479443224	0.024	0.107	0.136226245910242	1	42	28
AP1S3	-5.52046801709111	0	0.107	0.0327563692535534	1	42	28
NHERF1	5.52034543058105	0.119	0	0.0620408228193489	1	42	28
ST6GALNAC3	5.52009964056276	0.143	0	0.0392446646594294	1	42	28
NME4	5.5182344558091	0.167	0	0.0247570352561681	1	42	28
FAM210B	5.51688511640427	0.143	0	0.0392446646594294	1	42	28
PSME4	-5.51629130886723	0.024	0.25	0.00316527047325102	1	42	28
NBEA	-5.51060698956254	0	0.107	0.0327563692535534	1	42	28
HNRNPL	-5.51054600169436	0	0.107	0.0327563692535534	1	42	28
RAB13	-5.50674601607415	0.024	0.179	0.0216663367549505	1	42	28
PCGF6	-5.50347721839531	0	0.107	0.0327563692535534	1	42	28
ARMC1	-5.48166503670335	0	0.143	0.0128360016477947	1	42	28
HSPG2	-5.47664782031155	0	0.107	0.0327563692535534	1	42	28
DHX16	5.47573272441771	0.071	0	0.156284875512092	1	42	28
ST18	-5.47572401432267	0	0.107	0.0327563692535534	1	42	28
NKAPD1	5.47570355655097	0.095	0	0.0981495569991986	1	42	28
LANCL1	-5.47414506718707	0	0.107	0.0327563692535534	1	42	28
ANKAR	-5.47087196022538	0	0.071	0.0847460821233674	1	42	28
APBB2	-5.46494470226356	0	0.143	0.0128360016477947	1	42	28
DDX20	-5.4637405752352	0	0.107	0.0327563692535534	1	42	28
NEK6	5.45112360579112	0.143	0	0.0392446646594294	1	42	28
SELENOK	5.44728542607793	0.119	0	0.0620408228193489	1	42	28
TMEM209	-5.44114455787706	0	0.071	0.0847460821233674	1	42	28
ASTE1	-5.43586135882331	0	0.107	0.0327563692535534	1	42	28
DPP3	-5.43537430796219	0	0.143	0.0128360016477947	1	42	28
WWP2	-5.42302944990778	0	0.143	0.0128360016477947	1	42	28
ENSG00000227355	-5.39961916175539	0	0.107	0.0327563692535534	1	42	28
RAP1GAP2	-5.39869082819329	0	0.143	0.0128360016477947	1	42	28
ZNF791	-5.39714162789146	0	0.107	0.0327563692535534	1	42	28
ZNF639	-5.38412503158256	0	0.107	0.0327563692535534	1	42	28
EMC10	-5.38295841752133	0	0.143	0.0128360016477947	1	42	28
APOL2	-5.37049386931133	0	0.107	0.0327563692535534	1	42	28
SAP130	-5.367265988158	0	0.107	0.0327563692535534	1	42	28
CDADC1	-5.36445489077008	0	0.071	0.0847460821233674	1	42	28
PHLPP2	-5.36445489077008	0	0.071	0.0847460821233674	1	42	28
GLCCI1	-5.36049602886988	0	0.107	0.0327563692535534	1	42	28
COPZ1	5.35162097870995	0.119	0	0.0620408228193489	1	42	28
MDN1	-5.34893990513717	0	0.143	0.0128360016477947	1	42	28
KBTBD11	5.34080051290906	0.071	0	0.156284875512092	1	42	28
SYNGR2	5.33952209711074	0.095	0	0.0981495569991986	1	42	28
ATOSA	-5.33347016934228	0	0.107	0.0327563692535534	1	42	28
FBXO28	-5.33206065417555	0	0.143	0.0128360016477947	1	42	28
SLC39A3	5.32808274163588	0.095	0	0.0981495569991986	1	42	28
FUT10	-5.32009894355361	0	0.071	0.0847460821233674	1	42	28
ZBTB16	-5.31702214938431	0	0.071	0.0847460821233674	1	42	28
TMEM179B	5.31137636700701	0.095	0	0.0981495569991986	1	42	28
PCAT1	-5.30051764746529	0	0.071	0.0847460821233674	1	42	28
CTPS2	-5.29934217404462	0	0.107	0.0327563692535534	1	42	28
FEM1B	-5.29635788557052	0	0.107	0.0327563692535534	1	42	28
SUN1	-5.29538273365	0	0.107	0.0327563692535534	1	42	28
TRIM22	-5.28931793781074	0.024	0.179	0.0216663367549505	1	42	28
TMEM203	-5.28924524774752	0	0.071	0.0847460821233674	1	42	28
DNAJC19	-5.28902304259198	0	0.107	0.0327563692535534	1	42	28
BBS5	-5.27793480219019	0	0.107	0.0327563692535534	1	42	28
PPFIBP1	-5.27758459202681	0	0.071	0.0847460821233674	1	42	28
ACP1	5.27573485721357	0.119	0	0.0620408228193489	1	42	28
CRELD2	-5.27103606293788	0	0.107	0.0327563692535534	1	42	28
RRP15	5.27090000714056	0.095	0	0.0981495569991986	1	42	28
ATP11A	-5.270682426165	0.048	0.286	0.00366218967468597	1	42	28
