gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
B2M	1.10064390933647	0.941	0.848	1.1940761217476e-27	2.92679998201554e-23	341	487
FTL	0.574194815207433	1	0.99	1.04069623375109e-26	2.55085053854729e-22	341	487
MPO	-2.50384808089844	0.185	0.505	2.36193653785323e-22	5.78934264793204e-18	341	487
FTH1	0.57123718714652	1	1	1.25308532612529e-19	3.0714374428657e-15	341	487
IFITM3	2.19334069569826	0.252	0.057	9.86567896381543e-16	2.4181765708208e-11	341	487
S100A11	1.17927590447856	0.595	0.388	1.82547038425769e-15	4.47441045885403e-11	341	487
PDE4D	-0.977646675290093	0.572	0.774	4.03208946372277e-15	9.88305448453088e-11	341	487
TYROBP	0.935246057685339	0.695	0.511	1.11600073170942e-13	2.73542939349296e-09	341	487
CTSC	0.637037096247751	0.848	0.743	1.37894267510021e-12	3.37992639093811e-08	341	487
RPS6	-0.784327268969756	0.66	0.815	4.4652635396518e-12	1.09448074620405e-07	341	487
EEF1A1	-0.48664700997557	0.927	0.967	6.43321189711951e-12	1.57684456810296e-07	341	487
KCNQ5	-1.48191235598255	0.235	0.452	1.23249377962745e-11	3.02096550324485e-07	341	487
IFI6	2.02836038437905	0.191	0.043	1.26268324241846e-11	3.09496289549188e-07	341	487
S100A6	0.830620576500336	0.666	0.456	3.01851954231996e-11	7.39869325018044e-07	341	487
TFPI2	2.38863900097168	0.185	0.045	6.19342820604605e-11	1.51807118758395e-06	341	487
BST2	1.20924285341828	0.39	0.201	3.60393510996939e-10	8.83360534804597e-06	341	487
HLA-C	1.05698550956306	0.452	0.263	6.580182376113e-10	1.61286850220906e-05	341	487
GPX1	0.643160283198605	0.76	0.628	6.78173245130511e-10	1.6622704411394e-05	341	487
ALOX5AP	1.18643111265735	0.405	0.228	1.12714068140414e-09	2.7627345241897e-05	341	487
MMP1	2.02045963536515	0.235	0.088	3.82975890720667e-09	9.38712205745427e-05	341	487
ENSG00000289901	-0.764760795423178	0.619	0.766	5.50319983533931e-09	0.000134888931164002	341	487
FNDC3B	-0.403422325551693	0.968	0.971	5.55778827932314e-09	0.000136226948514489	341	487
RPS20	-0.654310979679953	0.428	0.628	6.83411687419206e-09	0.000167511038703322	341	487
OAZ1	0.586638359776151	0.748	0.643	6.93674750385028e-09	0.000170026618066874	341	487
IFI30	1.10455115163109	0.455	0.281	9.67798942282016e-09	0.000237217198742745	341	487
MX1	1.68145256914017	0.194	0.066	1.42868995067922e-08	0.000350186193810984	341	487
RPS2	-0.71284555393128	0.774	0.862	2.17418958318104e-08	0.000532915608733505	341	487
RAB27A	-0.558568007947482	0.713	0.817	2.2534124782463e-08	0.000552333932542951	341	487
AIF1	0.955883735119984	0.507	0.368	2.31891517084368e-08	0.000568389297525494	341	487
PPDPF	1.05561044926912	0.405	0.24	4.10013152240686e-08	0.00100498323745714	341	487
LRPAP1	0.676838648838239	0.704	0.593	5.83663149992799e-08	0.00143061674694735	341	487
EIF2AK2	1.00061267127196	0.372	0.207	6.06421329877451e-08	0.00148639932166262	341	487
SQSTM1	0.679969545193906	0.672	0.534	8.02889234135995e-08	0.00196796180179074	341	487
ATP6V0B	0.937809668137103	0.46	0.296	9.39869207029979e-08	0.00230371341335118	341	487
APLP2	0.476749268403059	0.786	0.7	9.5817363338109e-08	0.00234857939278039	341	487
CCDC26	-2.12692629969783	0.082	0.216	1.11309186416589e-07	0.00272829946825701	341	487
NRG1	0.475382084521712	0.815	0.69	1.34069867758435e-07	0.003286186528627	341	487
GAPDH	0.415730358134158	0.88	0.838	1.99638791373769e-07	0.00489334641536245	341	487
TMBIM6	0.720946036271455	0.592	0.444	2.0325766902366e-07	0.00498204872543894	341	487
ITM2B	0.615298132891523	0.716	0.649	2.1249326042896e-07	0.00520842230637425	341	487
LACC1	0.769698598529845	0.378	0.209	2.60362724225209e-07	0.0063817507334841	341	487
CD68	0.820554676275671	0.446	0.294	3.6596292550231e-07	0.00897011726698712	341	487
ENSG00000289474	-0.649252904969961	0.698	0.811	4.52791402421694e-07	0.0110983700647581	341	487
CXCL8	0.744231656460091	0.692	0.585	4.97700867624887e-07	0.0121991459663536	341	487
MCTP2	-0.414499209230997	0.848	0.906	6.51837962896619e-07	0.015977200308559	341	487
ISG15	2.41641693102987	0.147	0.049	7.31039055406249e-07	0.0179184982870626	341	487
EPSTI1	1.51633826842816	0.205	0.09	9.5062543819608e-07	0.0233007801156241	341	487
RPSA	-0.938344312179846	0.431	0.552	9.58175281215376e-07	0.0234858343178701	341	487
CDK6	-0.580085259201358	0.452	0.612	1.19451541049186e-06	0.0292787672265661	341	487
PRR13	0.762943484435961	0.554	0.423	1.43425747443434e-06	0.03515508495586	341	487
ARPC5	0.557604927718907	0.654	0.552	1.51673913014851e-06	0.0371767928190701	341	487
MAPK14	-0.662357356964133	0.663	0.737	1.68620043050813e-06	0.0413304587521848	341	487
ANXA3	-1.39575083410189	0.132	0.265	2.16719561411509e-06	0.0531201316975749	341	487
FUCA1	1.07608269723568	0.449	0.31	2.1748091605447e-06	0.0533067473341112	341	487
SRPK1	-0.861566324287004	0.408	0.552	2.20347908870524e-06	0.054009475943254	341	487
IFIT1	3.55252188255858	0.067	0.008	2.22870868222393e-06	0.0546278785099908	341	487
MT-ND3	-0.726178235183204	0.748	0.834	2.27202641123044e-06	0.0556896393656694	341	487
IFI44L	1.47072980636535	0.114	0.031	2.297030089769e-06	0.0563025045303279	341	487
MCU	-0.852899647632264	0.49	0.616	2.5030991873614e-06	0.0613534641814152	341	487
CCL13	1.42528545683074	0.152	0.055	3.16214588652382e-06	0.0775073578245853	341	487
RPL13A	-0.49213441326976	0.786	0.854	3.22095553905814e-06	0.0789488412178541	341	487
S100A4	0.671211456846336	0.478	0.339	3.53431731351677e-06	0.0866296516716095	341	487
CALM1	0.554933423219956	0.68	0.534	3.70969227531092e-06	0.090928267360146	341	487
ARHGAP15	-0.328615631983506	0.877	0.918	3.75795064739234e-06	0.0921111283182336	341	487
HDAC4	-0.608094828470798	0.293	0.456	4.36510980389563e-06	0.106993206403286	341	487
TRIM22	0.652197511368549	0.428	0.281	4.69537659023737e-06	0.115088375603308	341	487
MT2A	0.725088188156977	0.466	0.32	4.7537224991873e-06	0.11651849217758	341	487
LYST	-0.884685758331698	0.44	0.563	5.08833885600583e-06	0.124720273699559	341	487
ALPK1	-0.571973173216748	0.545	0.655	5.87875398982318e-06	0.144094139044556	341	487
HLA-A	0.43223321210397	0.704	0.606	6.29219322680508e-06	0.154227948182219	341	487
CD14	0.94521277221599	0.469	0.333	6.46681736772064e-06	0.158508160500201	341	487
MALAT1	0.258529230321551	1	1	7.35377520873395e-06	0.180248384141278	341	487
EEF1G	-0.591853717013947	0.51	0.634	7.60036890946606e-06	0.186292642339923	341	487
MGST3	0.927042100063974	0.246	0.127	8.19729720900132e-06	0.200923951889831	341	487
POLR2J	2.03751760624511	0.103	0.029	8.35594134876184e-06	0.204812478399502	341	487
CLIC1	0.543765877528067	0.531	0.38	8.85780998831872e-06	0.21711378062368	341	487
RPS19	-0.488138978118745	0.663	0.756	9.0653620006017e-06	0.222201087996748	341	487
NDUFA13	0.829662540192135	0.384	0.242	9.22062309696286e-06	0.226006692729657	341	487
RPS14	-0.299109315371086	0.748	0.84	9.33247696953409e-06	0.22874834300025	341	487
SH3BGRL3	0.75320737679645	0.56	0.446	9.69645070206735e-06	0.237669703158373	341	487
OAS3	2.81481382382671	0.062	0.008	1.01416935309527e-05	0.24858305013718	341	487
PGS1	-0.721182243667343	0.232	0.386	1.02100444949144e-05	0.250258400614847	341	487
ARL6IP5	0.581046227883889	0.598	0.474	1.03067397058631e-05	0.25262849693041	341	487
CHMP2B	0.881429056990785	0.32	0.193	1.06975164877842e-05	0.262206826632078	341	487
RPL3	-0.661477048138634	0.525	0.626	1.10793781706157e-05	0.271566638339963	341	487
CD63	0.565556829486288	0.645	0.542	1.13801695748246e-05	0.278939336448525	341	487
USP25	-0.596787344377337	0.457	0.593	1.43625575673916e-05	0.352040648534337	341	487
RPL13	-0.510846075499598	0.724	0.803	1.4402107977393e-05	0.353010068633881	341	487
C4orf3	1.21013488463854	0.229	0.119	1.4565432057542e-05	0.357013305162412	341	487
GPR141	-0.824788215953493	0.346	0.472	1.45958609561957e-05	0.357759147897313	341	487
ATP6V0E1	0.805141382770434	0.434	0.316	1.4685777460115e-05	0.359963091324878	341	487
MRPL52	1.1321161026809	0.164	0.068	1.47242499761454e-05	0.3609060911653	341	487
BPI	-2.05769515420642	0.041	0.129	1.52219793769765e-05	0.373105936509072	341	487
TRAPPC4	1.25289543867745	0.135	0.049	1.52718593168223e-05	0.374328543714633	341	487
RSAD2	2.97969262002153	0.05	0.004	1.53776964395781e-05	0.376922717430498	341	487
