gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
MT-ND5	-1.58883724256092	0.925	0.997	1.20324580943144e-202	2.9492758034974e-198	837	1190
SPP1	-1.66677832268052	0.854	0.992	3.3257001378231e-197	8.1516236078182e-193	837	1190
MT-ND4L	-1.45619521204337	0.817	0.985	1.20847637396902e-161	2.96209644023547e-157	837	1190
MT-CO1	-0.890263369585709	0.986	1	7.8666530103311e-126	1.92819531936226e-121	837	1190
RALGAPA2	1.21840463527257	0.975	0.947	4.37077304311519e-117	1.07132018059796e-112	837	1190
RPS8	1.36428585421343	0.965	0.918	3.02565983948281e-115	7.4161948325563e-111	837	1190
AHRR	2.13059235470747	0.734	0.266	8.4685053876572e-114	2.07571535556866e-109	837	1190
MT-CO3	-0.758101873787693	0.982	1	7.19477482545505e-112	1.76351125746729e-107	837	1190
MT-ND2	-0.862420638289826	0.955	0.999	1.46421977283475e-107	3.58894908519527e-103	837	1190
MPO	-0.990767537177638	0.931	0.987	1.20577161575771e-103	2.95546680738373e-99	837	1190
MT-ATP6	-0.843213587283177	0.953	1	7.51027033044521e-102	1.84084236069543e-97	837	1190
MT-ND3	-0.7906905646885	0.941	0.995	7.15025888699055e-90	1.75259995579025e-85	837	1190
ACTB	-0.794916208022764	0.938	0.997	4.45491330414344e-88	1.0919437999786e-83	837	1190
EEF1A1	0.999956510025489	0.986	0.992	1.0547566648167e-85	2.58531406113222e-81	837	1190
MT-CYB	-0.80156269160481	0.962	0.996	2.19838873031136e-85	5.38847061686618e-81	837	1190
SPN	-1.2577064725704	0.649	0.869	4.89362859427225e-80	1.19947730474207e-75	837	1190
RPL11	1.18892270533812	0.937	0.895	1.13099571624738e-79	2.77218360009395e-75	837	1190
MT1G	-1.74952839736824	0.363	0.717	6.22544144758729e-77	1.52591795321812e-72	837	1190
MT-CO2	-0.589565885364186	0.978	0.999	1.01049882753981e-75	2.47683367618284e-71	837	1190
RPL10	1.33344929355345	0.861	0.751	2.84281890299386e-71	6.96803341312826e-67	837	1190
MT-ND4	-0.621450744307943	0.975	0.998	3.6597869784407e-70	8.97050386285599e-66	837	1190
RPL14	1.32487323940322	0.848	0.74	7.84898369301808e-70	1.92386439299566e-65	837	1190
CALR	-1.2206149700903	0.584	0.832	1.59296076647294e-69	3.90450613470184e-65	837	1190
IL2RA	1.98453947790938	0.613	0.264	4.7927585527416e-69	1.17475304886249e-64	837	1190
SNHG29	1.09915421401199	0.866	0.712	7.98953427127523e-68	1.95831474523227e-63	837	1190
FTH1	0.750893213937511	1	1	3.37566144552595e-67	8.27408376912865e-63	837	1190
TMSB4X	-0.725917076745936	0.901	0.992	1.8012076750498e-66	4.41494013231457e-62	837	1190
PCNX1	0.989272831712743	0.94	0.864	3.16183420180218e-65	7.74997181203733e-61	837	1190
RPL18	1.1856780211916	0.867	0.783	2.64608099923538e-63	6.48580913722584e-59	837	1190
RPS2	1.06955860964204	0.951	0.967	1.07610243873579e-61	2.63763468758529e-57	837	1190
CTSB	-1.36009991785477	0.472	0.766	3.87988398132059e-61	9.5099836266149e-57	837	1190
EPB41L3	1.3710263788701	0.765	0.508	3.07872923660701e-60	7.54627323184745e-56	837	1190
RPLP0	1.04655650981341	0.907	0.847	4.60314632009391e-60	1.12827719451822e-55	837	1190
RPS4X	1.21066935559487	0.894	0.808	8.16619360954744e-60	2.00161571563617e-55	837	1190
SAMSN1	1.19060947870751	0.815	0.574	4.72976067329475e-59	1.15931163863128e-54	837	1190
ARHGEF18	-1.34158775832307	0.424	0.736	7.60506760543076e-59	1.86407812076713e-54	837	1190
SLC44A1	0.956046629932857	0.941	0.872	1.88242309142977e-58	4.6140072394035e-54	837	1190
RPL12	0.999863731642642	0.894	0.851	2.02040953912407e-56	4.952225821347e-52	837	1190
MT1H	-2.17493362924061	0.159	0.482	2.28421037309814e-56	5.59882804550085e-52	837	1190
RPL8	1.00012142248287	0.907	0.847	4.45177068509127e-56	1.09117351262272e-51	837	1190
RPL7A	1.14545724108537	0.879	0.793	4.62391114406221e-56	1.13336686052109e-51	837	1190
RPS3	1.08968752129365	0.883	0.82	3.68610453890415e-55	9.03501083530796e-51	837	1190
IPCEF1	-1.13586072316532	0.419	0.767	7.02358178832159e-55	1.72155013213551e-50	837	1190
TXNIP	1.356049443882	0.769	0.542	2.47261566244688e-54	6.06062825022354e-50	837	1190
HSPA5	-1.02209437169642	0.688	0.831	5.85479049154828e-53	1.4350676973834e-48	837	1190
CYTL1	2.95458234899603	0.357	0.096	1.33069619037171e-51	3.2616694322201e-47	837	1190
PSTPIP2	0.904348170716105	0.934	0.855	3.64998799891586e-51	8.94648558414266e-47	837	1190
CD55	1.78290879380698	0.507	0.201	5.10107921324299e-51	1.25032552595799e-46	837	1190
FTL	-0.443060476427902	0.987	1	1.37652506885582e-50	3.37400059627251e-46	837	1190
LINC02649	2.52785972269518	0.315	0.065	1.83953457848871e-50	4.50888320533368e-46	837	1190
HIP1	1.11264499437094	0.799	0.58	2.7153982033453e-50	6.65571253621966e-46	837	1190
RPL19	0.984746521797444	0.865	0.782	4.88798063056015e-50	1.1980929323566e-45	837	1190
MT2A	-1.17378499313109	0.413	0.698	1.17383169514776e-49	2.87717886797667e-45	837	1190
GAB2	1.17794613390904	0.793	0.583	4.93288151656458e-47	1.20909858852515e-42	837	1190
PDIA3	-0.959104880940159	0.619	0.801	8.48708963198953e-47	2.08027053969695e-42	837	1190
PLSCR1	1.32602259577194	0.625	0.346	6.03420637907729e-46	1.47904432557563e-41	837	1190
HSP90B1	-0.782908932264689	0.778	0.908	6.12590184651918e-45	1.50151980160032e-40	837	1190
P2RY8	-0.941035983028458	0.643	0.818	3.79063225451767e-44	9.29121871904825e-40	837	1190
RPL29	1.14044537271967	0.791	0.704	1.85505018272979e-43	4.54691350288898e-39	837	1190
HNRNPA1	0.876088965871701	0.866	0.761	1.96566914501565e-43	4.81805164134786e-39	837	1190
PRTN3	-0.801454515762716	0.737	0.913	1.99496230724125e-43	4.88985211127902e-39	837	1190
FOS	-2.18820506548043	0.081	0.346	2.29456011109687e-43	5.62419628830954e-39	837	1190
TIPARP	1.84593130432367	0.425	0.166	1.17987874758027e-42	2.89200079819399e-38	837	1190
PTPRJ	-0.837991786541594	0.643	0.852	1.55795388921123e-42	3.81870077784564e-38	837	1190
MT-ND6	-1.47613442349173	0.262	0.546	3.03825828142265e-42	7.44707487359505e-38	837	1190
ZBTB20	1.10141396173703	0.774	0.597	3.81294436899839e-42	9.34590794285196e-38	837	1190
RPS23	0.863214297156644	0.883	0.834	4.20911799158357e-42	1.03169691091705e-37	837	1190
INPP5A	-1.01239616948273	0.508	0.75	8.52222213048413e-40	2.08888186640296e-35	837	1190
SERPINB2	2.50037421806536	0.314	0.089	8.94877859479135e-40	2.19343512136931e-35	837	1190
AZU1	-0.95193819011206	0.628	0.808	9.69671695720017e-40	2.37676229337933e-35	837	1190
ANTXR2	0.998224429436864	0.851	0.703	2.48124428402174e-39	6.08177786456568e-35	837	1190
MRC1	-0.985543760489087	0.447	0.708	2.76950162972346e-39	6.78832544461518e-35	837	1190
ATP5F1E	-0.899566013977882	0.521	0.747	8.90303733568317e-39	2.1822234813493e-34	837	1190
HSP90AA1	-0.773989278804762	0.738	0.868	1.02501348929927e-38	2.51241056362145e-34	837	1190
NACA	1.08761037635956	0.742	0.587	1.67708354996568e-38	4.11069948932088e-34	837	1190
STAG1	-0.745675987878693	0.697	0.834	3.16423521506567e-38	7.75585693564746e-34	837	1190
MIR223HG	1.07225777118155	0.737	0.561	1.65509274694021e-37	4.05679783202515e-33	837	1190
IL6R	-1.1759733546504	0.308	0.58	2.01622354301702e-37	4.94196552628901e-33	837	1190
MLEC	-1.04992661917934	0.468	0.679	3.4846619070293e-37	8.54125480031952e-33	837	1190
RPL30	0.94960719998222	0.79	0.682	4.41774029914803e-37	1.08283232472417e-32	837	1190
BTG1	1.42204205268193	0.614	0.385	7.9939206271781e-37	1.95938988492762e-32	837	1190
RPL3	0.722061582155963	0.915	0.886	1.04477512805919e-36	2.56084831638589e-32	837	1190
