gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
LINC01283	-4.9672730759449	0.012	0.36	1.3546727043331e-22	3.32043826559085e-18	429	25
LINC01010	-6.80221830725389	0	0.2	1.41137852923907e-20	3.45942991301789e-16	429	25
DKK2	-7.4920433852813	0	0.16	9.76975240550894e-17	2.3946640121143e-12	429	25
LINC02542	-3.7944528275398	0.033	0.4	2.2903569934345e-15	5.6138940266073e-11	429	25
DOCK3	-3.14513716433301	0.033	0.4	4.23811913925132e-15	1.03880538222189e-10	429	25
FTH1	1.69796554110293	1	1	5.13841832103388e-15	1.25947771466861e-10	429	25
IDI2-AS1	-4.31495666569957	0.005	0.2	1.80493775973993e-14	4.42408294289854e-10	429	25
CLUH	-2.61969943344117	0.054	0.48	8.47867871232701e-14	2.07820893917847e-09	429	25
TPRG1	-3.16522245131472	0.259	0.84	1.2963046409989e-13	3.17737230555241e-09	429	25
CCDC3	-4.85934655150705	0.002	0.16	2.45025467545854e-13	6.00581923501644e-09	429	25
WARS2-AS1	-2.75415943728213	0.058	0.48	2.65244821378817e-13	6.50141581681618e-09	429	25
TMEM178B	-5.20651183068638	0.007	0.2	1.12030700229465e-12	2.74598449332442e-08	429	25
SLAMF7	-2.72382609022395	0.051	0.44	1.18386754649531e-12	2.90177774321465e-08	429	25
EPB41L3	1.51173106160911	1	0.96	1.18734846366991e-12	2.91030981930131e-08	429	25
SLC44A1	1.86266037819627	0.986	0.88	2.44353251173012e-12	5.9893425395017e-08	429	25
CXCL5	2.10215729189526	1	1	5.50139948471706e-12	1.348448027699e-07	429	25
SIPA1L1	2.08881749110887	0.998	0.84	5.6861879615456e-12	1.39374153125444e-07	429	25
PVT1	-2.65061692327575	0.212	0.76	7.75866155230560e-12	1.90172553308563e-07	429	25
ALDH4A1	-3.15035498878708	0.021	0.28	1.75240267864327e-11	4.29531420562252e-07	429	25
LINC00571	-2.93635081179325	0.021	0.28	2.00502964156279e-11	4.91452815443456e-07	429	25
ENSG00000288067	-4.38931825836813	0.009	0.2	3.19150904527014e-11	7.82270782086164e-07	429	25
ENSG00000233420	-3.93091294335706	0.009	0.2	3.80511586764077e-11	9.32671950317428e-07	429	25
MT-CO2	-1.28592153971415	0.977	1	4.01575212428123e-11	9.84301003182572e-07	429	25
