gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
SPP1	-1.96594838667631	0.743	0.997	5.78801867960606e-47	1.41870125855824e-42	218	308
FTH1	1.1079849927017	1	1	1.32660974830419e-45	3.25165315406841e-41	218	308
FOS	-2.85792724530917	0.138	0.672	4.29090108556933e-33	1.0517427650839e-28	218	308
EPB41L3	1.50761920482171	0.899	0.727	1.17127919346518e-31	2.8709224311025e-27	218	308
TXNIP	1.53757672610637	0.913	0.74	1.08566617595804e-30	2.66107636389074e-26	218	308
MT1G	-2.41932365943502	0.183	0.705	1.97371091311723e-30	4.83776281914164e-26	218	308
MPO	-1.95321650549277	0.399	0.86	2.52119164775215e-30	6.1796928478053e-26	218	308
MT-ND4L	-1.43483047083038	0.491	0.886	7.03592628866493e-29	1.72457589261466e-24	218	308
CYBB	-1.37907637796764	0.601	0.916	1.96159213381382e-27	4.80805847919106e-23	218	308
TMSB4X	-0.878087616028548	0.872	0.994	1.65200474260772e-26	4.04922882460579e-22	218	308
ACTB	-0.767688034311841	0.968	1	5.07436915723154e-26	1.24377862412902e-21	218	308
AHNAK	-2.45695955080964	0.151	0.581	3.79966127679447e-24	9.31334975555092e-20	218	308
CTSB	-2.02887078767593	0.5	0.847	4.2521232695607e-22	1.04223793460202e-17	218	308
MT1H	-2.20390475638156	0.124	0.532	1.01022511348815e-20	2.47616277567081e-16	218	308
MALAT1	0.643749475498964	1	1	1.30268830212031e-19	3.1930192973271e-15	218	308
PCNX1	1.00522021606056	0.959	0.935	1.43170317479263e-19	3.5092476517342e-15	218	308
UBASH3B	-2.1742590644081	0.147	0.51	4.07893810504852e-18	9.99788518928443e-14	218	308
S100A4	-1.06771414543222	0.596	0.896	4.2090204654947e-18	1.03167300629741e-13	218	308
SLC44A1	0.807859285873048	0.995	0.948	3.64499873053256e-17	8.93425638840835e-13	218	308
IPCEF1	-1.57286627494901	0.257	0.61	4.33587769368764e-17	1.06276698149978e-12	218	308
ANXA2	-1.73278439906977	0.206	0.568	4.38383944800395e-17	1.07452288710025e-12	218	308
SLC8A1	-1.71221381323433	0.326	0.675	4.91117979904208e-17	1.2037792805432e-12	218	308
HSP90B1	-1.32593795963968	0.362	0.74	5.64498187806496e-17	1.3836415081325e-12	218	308
CTSS	-1.32356308303629	0.321	0.701	6.9349347359944e-17	1.69982185313959e-12	218	308
LYZ	-1.23838060284522	0.55	0.88	1.10029547925967e-16	2.69693424921337e-12	218	308
NAMPT	1.86934710081406	0.729	0.578	1.76159329625084e-16	4.31784132844043e-12	218	308
MT-ND5	-0.988403834363281	0.624	0.877	3.85261098450309e-16	9.44313478411554e-12	218	308
MT-CO1	-0.567043372724953	0.995	1	4.35002287808377e-16	1.06623410764711e-11	218	308
TMSB10	-0.783883136536653	0.702	0.932	4.38085995706788e-16	1.07379258407691e-11	218	308
ZNF710	-1.7410217043029	0.174	0.529	6.06873463250558e-16	1.48750754577344e-11	218	308
MMP9	-2.52153533714097	0.151	0.497	7.55737696681331e-16	1.85238866833561e-11	218	308
SLC39A8	-2.56008775967614	0.147	0.487	7.58325376218081e-16	1.85873132964814e-11	218	308
GPCPD1	1.12168915857149	0.83	0.701	9.56075130504785e-16	2.34343575238028e-11	218	308
MXD1	1.1041809149972	0.826	0.666	1.40230473627304e-15	3.43718913907884e-11	218	308
CD84	-2.33455561898112	0.078	0.393	2.27183533266943e-15	5.56849558390604e-11	218	308
SMCHD1	0.930222995338166	0.913	0.873	3.41224245768253e-15	8.36374748802566e-11	218	308
TBL1X	0.926638432486184	0.917	0.864	6.29558067258773e-15	1.54310977865798e-10	218	308
ARHGAP26	0.792466939645394	0.977	0.961	6.97441355360256e-15	1.70949850612352e-10	218	308
ALCAM	-1.7784803324978	0.202	0.536	8.02386853326526e-15	1.96673041618865e-10	218	308
PTEN	0.963157209518095	0.89	0.854	8.72424313132885e-15	2.13839923392001e-10	218	308
ATP5F1E	-1.11603424559474	0.367	0.737	1.08267343327476e-14	2.65374085229975e-10	218	308
PABPC1	-0.847716311868635	0.642	0.864	1.10984534643264e-14	2.72034192864103e-10	218	308
MT2A	-0.968597361879664	0.321	0.698	1.50047094928198e-14	3.67780434378506e-10	218	308
LIPA	-2.14761035768445	0.073	0.38	1.66298641243742e-14	4.07614599552536e-10	218	308
DOCK10	-1.34783457310151	0.307	0.636	1.81166732084992e-14	4.44057777013524e-10	218	308
PLSCR1	1.27632848596281	0.734	0.578	1.84546179363239e-14	4.52341140237234e-10	218	308
SAMSN1	0.947770870561374	0.885	0.86	3.32200163674258e-14	8.14255821181974e-10	218	308
CALR	-1.49910280218106	0.216	0.552	5.25701008704167e-14	1.28854574243478e-09	218	308
TIPARP	2.2633515275247	0.518	0.273	5.69763023098565e-14	1.39654614591689e-09	218	308
IGSF6	-1.67647077728201	0.151	0.487	6.00084298861727e-14	1.47086662493998e-09	218	308
CD36	-2.11442619191569	0.124	0.432	8.00126506343253e-14	1.96119007969795e-09	218	308
LINC02649	2.76858876873862	0.303	0.065	1.06008058356701e-13	2.5983635183811e-09	218	308
TNS3	-2.32542156628633	0.119	0.412	1.67859749262037e-13	4.11441031416178e-09	218	308
NLN	-3.32691027223874	0.046	0.302	1.89873850955134e-13	4.6539979607613e-09	218	308
PDIA3	-1.26001782927016	0.257	0.584	3.38821585458764e-13	8.30485588117978e-09	218	308
MT-CO3	-0.508457561731082	0.991	1	4.46672227819176e-13	1.09483829760758e-08	218	308
KCNQ5	-1.72227225411939	0.128	0.445	5.24352958537599e-13	1.28524153667151e-08	218	308
GSN	-1.43829006974562	0.216	0.536	5.714729073798e-13	1.40073724327863e-08	218	308
KCNMA1	1.5694269967112	0.615	0.347	1.16396937600699e-12	2.85300533753074e-08	218	308
CD163	-2.29897485717885	0.092	0.367	1.16777827228367e-12	2.86234132319451e-08	218	308
SRGN	-0.764109607529439	0.849	0.968	1.39610500672961e-12	3.42199298199495e-08	218	308
LHFPL2	-2.8638005976047	0.037	0.279	1.43248961513603e-12	3.51117529565993e-08	218	308
RNF24	0.783326360577903	0.908	0.88	1.6144350561697e-12	3.95714176617755e-08	218	308
MGAT5	-1.31687353450706	0.362	0.659	1.70516435342874e-12	4.17952834668919e-08	218	308
ID2	-1.40535134130797	0.128	0.435	1.84047672206028e-12	4.51119249344195e-08	218	308
MT-ND2	-0.794691641315271	0.674	0.886	1.93413010701561e-12	4.74074630530597e-08	218	308
MT-ND3	-0.631591667178872	0.775	0.938	2.34858256383353e-12	5.75661072221236e-08	218	308
MARCO	-2.94454559419098	0.05	0.295	3.65110226888141e-12	8.94921677125522e-08	218	308
KCTD12	-2.50075861095012	0.037	0.276	4.06866184774724e-12	9.97269705501327e-08	218	308
MT-CYB	-0.613326872777038	0.794	0.974	4.57954711763956e-12	1.12249279400463e-07	218	308
MT-ATP6	-0.550564979580802	0.894	0.984	4.60184053819532e-12	1.12795713431706e-07	218	308
CDK6	-1.25569923394515	0.202	0.516	5.17916594808584e-12	1.26946536553532e-07	218	308
HRH2	-1.16551953942911	0.243	0.568	5.85849924492575e-12	1.43597674992375e-07	218	308
DAB2	-1.76787906356723	0.216	0.513	8.34822422746048e-12	2.04623324039284e-07	218	308
PTPRJ	-0.700858547213619	0.693	0.899	1.22056363315461e-11	2.99172352122526e-07	218	308
MRC1	-1.09085304737813	0.697	0.906	1.47453046408707e-11	3.61422162052382e-07	218	308
NPC1	-2.00013282658566	0.179	0.464	1.83047113721023e-11	4.486667804416e-07	218	308
TUBA1B	-1.14399419044549	0.298	0.591	2.09826671684945e-11	5.14306154966969e-07	218	308
