gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
B3GALT4	1.7755608863175	0.053	0.018	2.5981072087624e-09	6.36822057939753e-05	1579	2112
CHIC2	0.627037193726555	0.353	0.278	2.66394747814611e-09	6.52960166368393e-05	1579	2112
USP53	1.31306659707686	0.146	0.089	2.66825622150549e-09	6.5401628245321e-05	1579	2112
ZNF430	-0.460930678955248	0.179	0.265	2.69930287420365e-09	6.61626127496056e-05	1579	2112
SUV39H1	-1.3132042040621	0.016	0.054	2.75367403085576e-09	6.74953041703056e-05	1579	2112
PPP1R9A	1.68908291431886	0.073	0.031	2.80486920594114e-09	6.87501491068234e-05	1579	2112
FAM168B	-0.426615674269646	0.241	0.337	2.82994726600217e-09	6.93648374369791e-05	1579	2112
CDKL5	1.34964429176028	0.085	0.039	2.85143826680991e-09	6.98916033577777e-05	1579	2112
TSPAN4	0.911187856396601	0.205	0.137	2.88187777825934e-09	7.06377062229146e-05	1579	2112
GTF2F1	-0.448893340098297	0.175	0.265	2.90221507191027e-09	7.11361936275928e-05	1579	2112
DCXR	-0.858467397144261	0.056	0.113	2.95565448336222e-09	7.24460470416913e-05	1579	2112
GABARAPL2	0.977039740626842	0.18	0.115	3.00314782058978e-09	7.3610156230476e-05	1579	2112
MPP1	0.673123615322136	0.313	0.236	3.0126149294825e-09	7.38422045365455e-05	1579	2112
TRPC2	1.65015948176176	0.062	0.024	3.02260230146307e-09	7.40870050111613e-05	1579	2112
C1GALT1	-0.402656761609094	0.217	0.306	3.04079073056514e-09	7.45328215968822e-05	1579	2112
RANBP3	-0.413505572832124	0.122	0.2	3.04083905679794e-09	7.45340061211744e-05	1579	2112
SOD1	-0.371866751951425	0.165	0.248	3.04149304645351e-09	7.45500360616219e-05	1579	2112
AGPAT2	-0.527451843866961	0.139	0.217	3.05293612215432e-09	7.48305172901246e-05	1579	2112
SECISBP2L	0.763754074584496	0.33	0.257	3.14399300499401e-09	7.70624125454082e-05	1579	2112
RABGAP1L	-0.261342693039574	0.573	0.683	3.24656598442238e-09	7.9576578844177e-05	1579	2112
DRAP1	0.818176578208183	0.299	0.227	3.27762588314293e-09	8.03378880217165e-05	1579	2112
RRP36	-0.488395278878474	0.117	0.192	3.30989380922879e-09	8.11288071580069e-05	1579	2112
RAF1	0.531069323021257	0.579	0.547	3.32708430408456e-09	8.15501633774166e-05	1579	2112
FAM124A	0.760623519770027	0.141	0.08	3.3393385429635e-09	8.18505270265784e-05	1579	2112
MRPS17	-0.879928108798225	0.025	0.069	3.34337744332341e-09	8.19495245133e-05	1579	2112
RSBN1	-0.363603791238101	0.191	0.281	3.35055499507003e-09	8.21254534841614e-05	1579	2112
ZNF506	-0.524037496419079	0.117	0.193	3.38658935233298e-09	8.30086916150337e-05	1579	2112
ANKRD39	-1.54837453133272	0.016	0.054	3.39914750792183e-09	8.3316504566672e-05	1579	2112
DDX41	-0.61839879929752	0.082	0.149	3.40517208502648e-09	8.3464172976084e-05	1579	2112
ARHGAP45	-0.413625411602673	0.17	0.255	3.45663887788097e-09	8.47256755357405e-05	1579	2112
PARP14	0.652787000501459	0.455	0.401	3.45963841853554e-09	8.47991972767245e-05	1579	2112
SPINDOC	-1.21034498967695	0.015	0.051	3.47276980372835e-09	8.51210606591856e-05	1579	2112
CD40	1.01353956367088	0.089	0.041	3.49126009333528e-09	8.55742761477411e-05	1579	2112
UBQLN1	-0.250868229613544	0.301	0.409	3.57964193214036e-09	8.77406033986923e-05	1579	2112
TBCE	-0.616034730893326	0.12	0.194	3.60742531282078e-09	8.842160184255e-05	1579	2112
FAM110B	1.83846501535531	0.055	0.019	3.68896312456636e-09	9.04201751462461e-05	1579	2112
CCDC25	-0.530796771719054	0.123	0.199	3.71293839522175e-09	9.10078330052804e-05	1579	2112
SKAP1	-0.710804489648068	0.036	0.085	3.76838215872774e-09	9.23668150925756e-05	1579	2112
ITPR2	0.345660582862413	0.756	0.735	3.79567425700936e-09	9.30357717135565e-05	1579	2112
RCN2	-0.562207016074706	0.096	0.164	3.81262608499463e-09	9.34512779693034e-05	1579	2112
DUSP4	-1.07725891069244	0.021	0.062	3.8564253206366e-09	9.45248410341238e-05	1579	2112
RB1CC1	0.563346270116086	0.457	0.395	3.89445883697023e-09	9.54570805529773e-05	1579	2112
PTER	-0.280748450882368	0.199	0.288	3.93676797732958e-09	9.64941198923253e-05	1579	2112
HSPBAP1	0.795099462295362	0.25	0.176	3.95868783141484e-09	9.70313974358092e-05	1579	2112
ITPK1	-0.397141749164152	0.201	0.29	3.97338220283704e-09	9.73915711737386e-05	1579	2112
UBALD2	0.794124112303444	0.287	0.212	3.98412761159634e-09	9.76549518878379e-05	1579	2112
TUT7	0.593322848600725	0.461	0.398	3.98451682478559e-09	9.76644918923197e-05	1579	2112
ENSG00000259704	1.42300705214516	0.118	0.064	4.01508753718141e-09	9.84138106238535e-05	1579	2112
COTL1	0.537207361411687	0.529	0.486	4.0362550963261e-09	9.89326486660491e-05	1579	2112
WASL	-0.353963861703336	0.231	0.324	4.05190274096615e-09	9.93161880838213e-05	1579	2112
MOB3A	0.801038630918338	0.376	0.311	4.06140020034076e-09	9.95489803105523e-05	1579	2112
ANTXR2	-0.31290213170209	0.656	0.759	4.18540089002287e-09	0.000102588361215351	1579	2112
XPNPEP1	-0.385483497432497	0.15	0.233	4.19704371755353e-09	0.000102873738560955	1579	2112
HILPDA	-0.854102088184312	0.027	0.071	4.21540926013537e-09	0.000103323896375178	1579	2112
RPL7A	-0.359673044878013	0.772	0.826	4.25016972917428e-09	0.000104175910231791	1579	2112
DNAAF10	-0.545705543100289	0.058	0.116	4.26669463241717e-09	0.000104580952135177	1579	2112
ZDHHC2	-0.415589004984149	0.21	0.298	4.35850435878727e-09	0.000106831300338235	1579	2112
PLIN5	1.59000771394153	0.111	0.06	4.36906886260212e-09	0.000107090246891241	1579	2112
PGD	0.332886527524197	0.636	0.596	4.43630777888196e-09	0.000108738339968176	1579	2112
MRPL14	-0.480410983365755	0.08	0.144	4.55324009818873e-09	0.000111604468046704	1579	2112
SBF2	0.415026595778665	0.773	0.776	4.58205407223891e-09	0.000112310727364648	1579	2112
MICU2	-0.308303023728174	0.36	0.464	4.68167881574346e-09	0.000114752629452688	1579	2112
ZNF710	-0.438718579989858	0.285	0.384	4.75175865532532e-09	0.000116470356400679	1579	2112
