gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
SRGN	-2.11337518995702	0.873	0.995	2.30603989038678e-90	5.65233437532702e-86	487	395
FTH1	1.38938862982683	1	1	4.04033436152589e-90	9.9032635535361e-86	487	395
LYZ	-3.07169971859175	0.314	0.891	9.47312027311753e-90	2.32195651014384e-85	487	395
MT-CO1	-1.42171077599324	0.977	1	3.02900717130827e-80	7.42439947759371e-76	487	395
AZU1	-3.24660940287629	0.203	0.8	1.10966901150775e-79	2.71990971410665e-75	487	395
SPP1	-1.38931805391865	0.766	0.997	4.34243393873715e-66	1.06437398272386e-61	487	395
MT-ND4L	-1.50027160997784	0.505	0.972	2.87431571847663e-63	7.04523525755806e-59	487	395
MT-CO2	-1.07607529203702	0.963	1	8.62856990324644e-61	2.11494876898473e-56	487	395
MT-ND5	-1.34566936762226	0.676	0.982	1.08403926095091e-60	2.65708863251678e-56	487	395
TMSB4X	-1.17652739044471	0.825	0.995	8.52446935672461e-58	2.08943268402677e-53	487	395
SPN	-1.85548430712734	0.292	0.815	3.66509429471363e-57	8.98351262577257e-53	487	395
MT-CO3	-1.03925843334255	0.996	1	1.20649623820846e-56	2.95724292947276e-52	487	395
MT-CYB	-1.1014941446959	0.91	0.997	3.81357593773844e-56	9.34745598099069e-52	487	395
PRTN3	-2.50101042491713	0.172	0.681	1.00455775868169e-54	2.46227152230469e-50	487	395
MPO	-1.94575077295562	0.505	0.911	6.02783237081757e-54	1.4774819924111e-49	487	395
ENSG00000291144	-1.43211150657114	0.606	0.942	1.45863747138664e-53	3.5752663061158e-49	487	395
NAMPT	3.16363495095042	0.764	0.41	5.91739386250981e-53	1.45041240963978e-48	487	395
MT-ATP6	-0.970001058047464	0.93	0.997	2.01936940856941e-52	4.94967635734447e-48	487	395
MT-ND3	-1.06449049667608	0.834	0.985	5.5342207192842e-49	1.35649284050375e-44	487	395
EPB41L3	2.28491905466263	0.778	0.486	3.95513822566507e-48	9.69443930492765e-44	487	395
ACSM3	-1.5690690946175	0.259	0.747	1.1790544497554e-47	2.88998036179547e-43	487	395
MT1G	-1.85839889551441	0.242	0.732	2.19729214404221e-47	5.38578277426187e-43	487	395
ACTB	-0.923452857676745	0.883	0.99	8.03602987164546e-47	1.96971128183902e-42	487	395
FOS	-2.80338453227079	0.092	0.527	2.05585256803642e-45	5.03910022951408e-41	487	395
LRMDA	-0.85442835355957	0.938	0.99	1.4629179457224e-43	3.58575817676017e-39	487	395
ELANE	-2.29035787323352	0.17	0.605	4.31597157773828e-41	1.05788779341943e-36	487	395
PSAP	-1.22017643895167	0.52	0.866	5.89227633154713e-40	1.44425585162552e-35	487	395
CYBB	-1.35307657294384	0.53	0.858	4.2773617827011e-39	1.04842414655787e-34	487	395
MT-ND2	-0.822037205832639	0.864	0.995	1.238909598423e-38	3.03669131669462e-34	487	395
MT-ND4	-0.678437114106234	0.955	1	1.67194104236338e-38	4.09809468893688e-34	487	395
MT-ND1	-0.749728342469536	0.887	0.992	2.16424162237565e-38	5.30477264060495e-34	487	395
TBL1X	1.89727170181886	0.752	0.451	4.80859859455156e-38	1.17863560151053e-33	487	395
KCNH7	-1.25013882783882	0.359	0.818	1.90480528024239e-37	4.66886822240211e-33	487	395
FNDC3B	-0.739511743092935	0.971	1	2.24384707808894e-37	5.49989357310381e-33	487	395
ANKRD13D	-1.57861007084926	0.347	0.739	2.61450401578438e-37	6.4084107930891e-33	487	395
MT1H	-2.36732855626322	0.113	0.494	1.69243099517224e-35	4.14831761226667e-31	487	395
SESN3	-1.80905709733188	0.183	0.572	7.36027693301901e-35	1.80407747905229e-30	487	395
PLAC8	-1.50806217786234	0.265	0.673	2.96953649744893e-34	7.27863090889707e-30	487	395
CTSG	-3.87425072260075	0.029	0.332	1.63858918357183e-33	4.01634594785291e-29	487	395
GRN	-1.68698853483866	0.232	0.613	3.62672490741248e-33	8.88946542055873e-29	487	395
TXNIP	1.16743374171826	0.873	0.777	2.64473910321752e-32	6.48252001589645e-28	487	395
LINC02147	-1.43902808775288	0.349	0.727	3.1641856379438e-32	7.75573541716404e-28	487	395
SAMSN1	1.40275771516056	0.789	0.646	4.30774543327181e-32	1.05587148314925e-27	487	395
ATG7	-0.694157955716748	0.893	0.975	7.98645497341444e-31	1.95755997853361e-26	487	395
FOSB	-5.29927294653002	0.008	0.266	8.09563902950965e-31	1.98432208252311e-26	487	395
MRC1	-1.05960043006018	0.458	0.818	1.5326949988779e-30	3.75678871174961e-26	487	395
MALAT1	0.677507628521488	1	1	2.53305833947661e-30	6.20877929589112e-26	487	395
CALR	-1.72258983783637	0.226	0.582	5.61447683349321e-30	1.37616441665752e-25	487	395
PCNX1	1.00724757535668	0.885	0.835	7.27927497552154e-30	1.78422308925008e-25	487	395
CTSB	-1.21199836493994	0.396	0.759	3.40010398967737e-29	8.33399488909821e-25	487	395
GSN	-1.31070771477455	0.316	0.694	5.52953123587175e-29	1.35534340122452e-24	487	395
MXD1	2.04495371971354	0.61	0.316	4.85039076196334e-28	1.18887927966483e-23	487	395
P2RY8	-1.57227511225991	0.195	0.554	7.10894373586911e-28	1.74247319909888e-23	487	395
RPL37A	-0.703472113706118	0.706	0.937	9.86652383399051e-27	2.41838365694941e-22	487	395
HSP90B1	-1.01380494740826	0.435	0.782	2.12781761406229e-26	5.21549375382808e-22	487	395
IPCEF1	-1.97526993204358	0.115	0.43	2.72397199117873e-26	6.67672774757817e-22	487	395
RALGAPA2	0.875137324665964	0.926	0.934	2.96621073261224e-26	7.27047912670586e-22	487	395
MT2A	-1.05928123737146	0.32	0.686	3.35512205378115e-26	8.22373966602299e-22	487	395
RASA2	1.23911201053625	0.768	0.691	8.15370817948926e-26	1.99855541187461e-21	487	395
MCU	-1.06512851748382	0.616	0.891	1.46661249568145e-25	3.59481388816479e-21	487	395
FRMD3	-1.19168561353617	0.452	0.742	1.94895309726737e-25	4.77707893671204e-21	487	395
B4GALT5	-1.01441118001425	0.733	0.919	3.72183146903664e-25	9.12258111375571e-21	487	395
LYST	-0.815840444377208	0.563	0.866	6.27133825411862e-25	1.53716771946702e-20	487	395
AHRR	1.41107909843221	0.69	0.438	1.01827938895965e-24	2.495904610279e-20	487	395
PABPC1	-0.648822485525235	0.801	0.942	1.59446629396588e-24	3.90819633313978e-20	487	395
SLC15A2	-1.52443401658679	0.197	0.522	1.88715058630124e-24	4.62559480208297e-20	487	395
ADGRL3	-0.879222313111707	0.645	0.904	4.26299581237228e-24	1.04490290357057e-19	487	395
PDIA3	-1.32604643348754	0.285	0.62	4.93205785776132e-24	1.20889670151588e-19	487	395
NMNAT3	-2.25993983513594	0.099	0.38	5.46319904514809e-24	1.33908471795625e-19	487	395
PTEN	1.22151314900767	0.799	0.711	6.34712785598114e-24	1.55574450877954e-19	487	395
ZFP36L2	-1.0891188979839	0.326	0.663	9.44785832077633e-24	2.31576455300549e-19	487	395
ANKRD18A	-1.79100845389066	0.115	0.41	1.62091941065232e-23	3.9730355674499e-19	487	395
RPL27A	-0.84219103262607	0.587	0.848	2.12696741267679e-23	5.21340982521208e-19	487	395
RETN	-1.79160896440968	0.088	0.367	5.88408508126198e-23	1.44224809426812e-18	487	395
CD38	-2.09555225582428	0.064	0.327	5.98480443189064e-23	1.46693541430071e-18	487	395
QSOX1	-0.948244277669961	0.419	0.727	7.14545842924817e-23	1.75142331559302e-18	487	395
CD84	-1.80525545326623	0.131	0.423	1.02932448826021e-22	2.5229772531746e-18	487	395
SYT1	-1.77737277725368	0.117	0.395	1.31895090074113e-22	3.23288055280657e-18	487	395
RPL21	-0.748091277571178	0.614	0.884	1.96416114002054e-22	4.81435537030433e-18	487	395
FLNA	-1.47720032426804	0.152	0.456	1.98647030273573e-22	4.86903735903555e-18	487	395
TIPARP	2.0725362114241	0.497	0.22	2.67924674425627e-22	6.56710169484653e-18	487	395
RPLP2	-0.509129637594164	0.848	0.972	4.68999575127899e-22	1.14956485859599e-17	487	395
TFEC	-1.37344562023471	0.222	0.532	7.15196700610803e-22	1.75301863286714e-17	487	395
SCFD2	-1.33012242450717	0.234	0.552	1.11335140602693e-21	2.7289356313126e-17	487	395
TET2	-0.753606687733869	0.653	0.866	2.20791184983496e-21	5.41181273513047e-17	487	395
SMCHD1	1.00518897201949	0.795	0.701	2.29019493125469e-21	5.61349679599838e-17	487	395
RPL23	-0.748830131917029	0.495	0.8	2.84046247070399e-21	6.96225756194255e-17	487	395
STAB1	-2.52393794332239	0.062	0.299	3.37474071644992e-21	8.27182697009041e-17	487	395
CTSA	-1.59320929988058	0.238	0.511	4.0919991551378e-21	1.00298991291583e-16	487	395
NEU3	-2.50216481042928	0.062	0.296	6.27277644730174e-21	1.53752023499813e-16	487	395
ERLIN1	-1.27636718561571	0.203	0.514	1.12924699796889e-20	2.76789731672155e-16	487	395
