gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
MT1G	-3.27247320492779	0.239	0.96	1.84295003892558e-19	4.51725484041048e-15	46	173
FTL	-1.26332333791694	1	1	1.10319046661602e-18	2.70403015272252e-14	46	173
SPP1	-2.82674118080263	0.826	1	1.12958010366788e-17	2.76871379210033e-13	46	173
MT1H	-3.06703595332805	0.109	0.809	1.19441624957701e-13	2.9276336693382e-09	46	173
CSTB	-2.12901236099094	0.413	0.931	6.12292976900685e-13	1.50079131568127e-08	46	173
IGSF6	-4.34482979332095	0.043	0.682	1.35500224438703e-12	3.32124600121704e-08	46	173
TMSB4X	-1.08503686466723	0.913	1	3.76592193215777e-12	9.23065124791191e-08	46	173
CYBB	-1.55224751094114	0.587	0.936	1.18852147812671e-11	2.91318499503639e-07	46	173
MRC1	-1.67442212012007	0.826	0.971	1.11680942260969e-10	2.73741157575862e-06	46	173
F13A1	-2.65130037338035	0.217	0.769	1.25745823981214e-10	3.08215589160355e-06	46	173
DAB2	-2.88362867338012	0.261	0.763	1.80198045068283e-10	4.41683428266868e-06	46	173
AIF1	-1.49602210558851	0.5	0.925	7.23498061966227e-10	1.77336609968542e-05	46	173
GPX1	-1.40746645261186	0.543	0.942	1.14518647158881e-09	2.80696656051132e-05	46	173
PRDX1	-3.50299305445282	0.043	0.59	1.24821866764489e-09	3.0595087762644e-05	46	173
ACTB	-1.0362136168701	0.935	1	2.21862440951701e-09	5.43807029016714e-05	46	173
TXNIP	1.26314196871887	0.957	0.832	5.91995568726351e-09	0.000145104033850516	46	173
AHRR	1.68163505244576	0.783	0.468	8.07687570706923e-09	0.000197972300455974	46	173
EPB41L3	1.44267292967765	0.87	0.74	9.04846378762742e-09	0.000221786895898536	46	173
CTSB	-1.94232886142829	0.478	0.913	1.54431614514956e-08	0.000378527330337609	46	173
PLSCR1	1.51116534846209	0.804	0.642	2.00777079385321e-08	0.00049212469928136	46	173
VIM	-1.15068072763007	0.804	0.965	2.28231374021188e-08	0.000559417920863334	46	173
SLCO2B1	-2.49525294747024	0.109	0.601	4.75533197757445e-08	0.00116557942102327	46	173
CD163	-2.57703982169726	0.152	0.63	4.80381613015277e-08	0.00117746337166174	46	173
S100A4	-1.31509676200448	0.696	0.942	4.91500305378658e-08	0.00120471639851363	46	173
CCL13	-3.29207157962669	0.13	0.601	8.1276838204102e-08	0.00199217658122074	46	173
TBL1X	1.31807646151593	0.891	0.769	1.1515937001114e-07	0.00282267131834306	46	173
CYFIP1	-2.81669838082414	0.065	0.526	1.17707557545613e-07	0.00288512994300053	46	173
PRRX1	3.46815469089848	0.304	0.046	1.24105466620328e-07	0.00304194909233085	46	173
PSAP	-1.25459356536428	0.522	0.879	1.32233754973754e-07	0.00324118156816168	46	173
TMSB10	-0.956930738949322	0.717	0.977	1.38347359832311e-07	0.00339103213684979	46	173
