gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
CYP3A5	5.79041232231585	0.192	0.002	2.31323870250949e-26	5.66997938372102e-22	26	837
ZMYND15	7.44969642592248	0.115	0	7.96938378092778e-23	1.95337565854321e-18	26	837
CD70	8.61805525724957	0.154	0.002	5.10438959403834e-20	1.25113693339474e-15	26	837
LINC00861	6.44961420202784	0.115	0.001	3.44215678495221e-17	8.43707049559636e-13	26	837
CCR7	6.20454032489686	0.154	0.004	4.10134427778787e-17	1.00528049592858e-12	26	837
GPM6A	10.5770580331257	0.077	0	1.02473662206851e-15	2.51173193435213e-11	26	837
C1QL1	9.25735424409729	0.077	0	1.02473662206851e-15	2.51173193435213e-11	26	837
CMTM2	7.60819662546029	0.077	0	1.02473662206851e-15	2.51173193435213e-11	26	837
ENSG00000235637	7.43079973913938	0.077	0	1.02473662206851e-15	2.51173193435213e-11	26	837
ENSG00000289242	7.16919909867196	0.077	0	1.02473662206851e-15	2.51173193435213e-11	26	837
LINC02356	7.1519458002194	0.077	0	1.02473662206851e-15	2.51173193435213e-11	26	837
SLC26A11	5.31249582074506	0.154	0.005	5.55684486859849e-15	1.36203824574218e-10	26	837
SYNE2	5.411362448094	0.231	0.014	1.44583264150329e-14	3.54388038758872e-10	26	837
SEPTIN10	4.45763416209788	0.231	0.014	1.90715278672471e-14	4.67462219554094e-10	26	837
KCNQ5	-4.33916800583525	0.154	0.904	1.26502112753253e-13	3.10069328569498e-09	26	837
KREMEN1	3.86585313504375	0.385	0.049	1.26608142065807e-13	3.10329217017501e-09	26	837
MPO	-3.55212434299461	0.269	0.931	3.02641792877196e-13	7.41805298521296e-09	26	837
KITLG	6.31147417476631	0.115	0.004	1.29367835554632e-11	3.17093501727958e-07	26	837
FTH1	2.01317377120951	1	1	5.89151494715886e-11	1.44406922869811e-06	26	837
NID1	5.2924995345576	0.154	0.008	6.52414680880169e-11	1.59913362430538e-06	26	837
ENSG00000257252	4.63267610808677	0.192	0.014	9.89386863783769e-11	2.4250861418204e-06	26	837
RND3	6.26940080780603	0.192	0.014	1.03378613589004e-10	2.53391319768007e-06	26	837
TNFRSF25	8.74544069270295	0.077	0.001	1.0386501302527e-10	2.54583533426239e-06	26	837
CCDC141	8.51122780229665	0.077	0.001	1.0386501302527e-10	2.54583533426239e-06	26	837
ENSG00000288598	8.31321274112912	0.077	0.001	1.0386501302527e-10	2.54583533426239e-06	26	837
PLD2	6.32817517837424	0.077	0.001	1.0386501302527e-10	2.54583533426239e-06	26	837
NRIR	6.07996998389173	0.077	0.001	1.0386501302527e-10	2.54583533426239e-06	26	837
SHISAL2A	5.33254302964064	0.077	0.001	1.1518738627705e-10	2.82335802503677e-06	26	837
DSEL	4.58370535887907	0.077	0.001	1.1518738627705e-10	2.82335802503677e-06	26	837
ELANE	-4.93369336224429	0.077	0.779	1.32314781930346e-10	3.24316761989472e-06	26	837
ATP8B4	-1.55558616759383	0.692	0.99	3.1171258255468e-10	7.64038711099776e-06	26	837
IFI6	4.61367093171009	0.269	0.032	4.12407252733264e-10	1.0108514171745e-05	26	837
LEF1	4.91508563827389	0.154	0.01	5.58735115794282e-10	1.36951564232336e-05	26	837
TMEM252-DT	4.75232650813643	0.115	0.005	5.97334236665784e-10	1.4641259474915e-05	26	837
DTX4	4.52995335278488	0.115	0.005	5.97334236665784e-10	1.4641259474915e-05	26	837
AQP9	3.50566565700631	0.269	0.032	6.58379774270412e-10	1.61375466471421e-05	26	837
CA12	3.18427340303786	0.115	0.005	6.80467932852991e-10	1.66789495021597e-05	26	837
MIR34AHG	3.87005604689021	0.231	0.025	1.58308211250934e-09	3.88029256597165e-05	26	837
PRTN3	-5.25630568529275	0.115	0.737	1.60544313497518e-09	3.93510166813767e-05	26	837
MMP25	4.22451350360434	0.192	0.018	3.86486033263271e-09	9.47315916131603e-05	26	837
PHLDA2	7.24211447923225	0.115	0.006	8.24571537264314e-09	0.000202110729498856	26	837
