gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
B2M	1.20202044566227	0.99	0.993	2.31704330601434e-76	5.67930484737176e-72	617	429
GAPDH	0.91131044053672	0.976	0.984	3.34272748220971e-55	8.19335933164422e-51	617	429
S100A11	1.07031337021573	0.943	0.883	1.71490021004161e-52	4.20339190483298e-48	617	429
FTL	0.589465541456367	1	1	1.05937437534863e-50	2.59663253141703e-46	617	429
IFI30	1.1546271046859	0.955	0.972	7.53459209444999e-50	1.84680386827064e-45	617	429
IFITM3	1.9588279916627	0.775	0.42	1.79831002171729e-49	4.40783769423125e-45	617	429
NEAT1	-0.901011502122517	0.987	1	2.81010254707708e-49	6.88784235314062e-45	617	429
S100A6	0.961413226607813	0.953	0.886	9.33727837382789e-47	2.28866030220895e-42	617	429
FTH1	0.676721783397161	1	1	3.51682651135564e-45	8.62009346198381e-41	617	429
IFI6	1.93157969225441	0.676	0.308	8.53667702793077e-43	2.09242490631611e-38	617	429
CTSL	1.02144328244844	0.963	0.986	2.89123747972355e-39	7.0867121865504e-35	617	429
HLA-B	0.724993703814461	0.945	0.946	3.83016218772277e-39	9.38811053832729e-35	617	429
FCGR2C	-1.22356324493796	0.639	0.869	2.52027632330338e-37	6.17744929604891e-33	617	429
FCER1G	0.924390068147323	0.911	0.837	8.41873608012902e-37	2.06351640060042e-32	617	429
ACTB	0.688191225307388	0.976	0.97	2.08428018732702e-32	5.10877916715725e-28	617	429
SH3BGRL3	0.900048304784348	0.877	0.765	1.37830679756038e-30	3.37836779150024e-26	617	429
HLA-C	0.863197432656804	0.878	0.79	2.26990235376616e-30	5.56375765931624e-26	617	429
AHNAK	-1.12371287282518	0.593	0.816	4.3376622140849e-30	1.06320438529435e-25	617	429
CCL7	2.05399599267475	0.687	0.443	8.31921177034435e-30	2.0391219970291e-25	617	429
MYL6	0.795978331868298	0.927	0.865	1.77393526809648e-28	4.34809273563129e-24	617	429
EPB41L3	-0.444648427747973	0.969	1	2.27488125417763e-27	5.5759614421148e-23	617	429
MX1	1.4488538355234	0.669	0.38	1.07521712673164e-26	2.63546469933193e-22	617	429
SIPA1L1	-0.568197345032126	0.958	0.998	4.05060357745231e-26	9.92843442869335e-22	617	429
ITM2B	0.614713108415395	0.959	0.972	4.62521478218559e-26	1.13368639526151e-21	617	429
TYROBP	0.718251499299229	0.924	0.914	7.31929843527949e-25	1.79403323947136e-20	617	429
AIF1	0.879668367224294	0.836	0.706	1.18920057943445e-24	2.91484954025178e-20	617	429
CD14	0.654053585604252	0.958	0.995	1.3955676764424e-24	3.42067593172797e-20	617	429
FTX	-0.663822996332573	0.851	0.942	1.40172476731127e-24	3.43576757715666e-20	617	429
C1QC	1.27710517822183	0.763	0.58	2.63659431406879e-24	6.46255632321402e-20	617	429
S100A10	0.766057771248533	0.888	0.832	5.79817910405731e-24	1.42119168019549e-19	617	429
MT2A	1.33409580359493	0.687	0.424	2.44872485669179e-23	6.00206949623724e-19	617	429
ARPC3	0.849964955671594	0.836	0.741	4.41505197756023e-23	1.08217339021979e-18	617	429
IFIT1	2.04398414809734	0.488	0.219	5.81436517051422e-23	1.42515904694474e-18	617	429
CD63	0.628849597050575	0.932	0.916	6.52919496874456e-23	1.60037097878898e-18	617	429
MMP9	0.920709032639602	0.874	0.818	1.44885063567401e-22	3.55127779310056e-18	617	429
CTSC	0.666439889773966	0.968	0.979	1.72499128566366e-22	4.22812614029019e-18	617	429
MYL12A	0.986913921615095	0.784	0.66	2.65389168723923e-22	6.50495391459207e-18	617	429
NAMPT	-0.803382484113737	0.906	0.977	3.78850440482311e-22	9.28600314666192e-18	617	429
CALM1	0.494816618830075	0.945	0.965	3.92978750085508e-22	9.63230214334588e-18	617	429
PCNX1	-0.651140018080455	0.864	0.942	7.72956673509905e-22	1.89459410244013e-17	617	429
CST3	0.705055697933539	0.911	0.895	1.41991139706128e-21	3.48034482533689e-17	617	429
LY6E	1.26712174310657	0.624	0.382	1.61175966091105e-21	3.95058410485907e-17	617	429
FCGRT	0.781153113621006	0.827	0.732	2.2185350122056e-21	5.43785116841714e-17	617	429
IFIT3	1.546355813813	0.543	0.289	2.97441809632365e-21	7.29059619589889e-17	617	429
ZBTB20	-0.602996112647847	0.882	0.946	5.66340656790253e-21	1.38815758385859e-16	617	429
LGALS1	0.752099274578161	0.857	0.723	1.10739094589671e-20	2.71432594748744e-16	617	429
ARPC1B	0.657210811380485	0.883	0.837	1.17553045018868e-20	2.88134268645746e-16	617	429
ARPC5	0.463355328992448	0.948	0.984	4.51468742988936e-20	1.10659503594018e-15	617	429
CCL13	1.84529453739785	0.504	0.259	1.97602806730741e-19	4.84344239577718e-15	617	429
CLIC1	0.667958555109642	0.853	0.767	2.89262476730659e-19	7.09011256714519e-15	617	429
CD68	0.519542155213712	0.935	0.935	3.67984370909903e-19	9.01966491537263e-15	617	429
FOLR2	2.05544670715708	0.408	0.168	3.99850900248011e-19	9.800745415979e-15	617	429
FABP5	1.37703844467779	0.64	0.406	4.25671208848076e-19	1.04336270000752e-14	617	429
OAZ1	0.54866425685426	0.922	0.909	5.83244844771711e-19	1.42959143901994e-14	617	429
HIPK2	-0.689037203088886	0.681	0.858	1.76127409102832e-18	4.31705892451952e-14	617	429
C1QA	0.701483589080668	0.909	0.862	2.67950361606596e-18	6.56773131333928e-14	617	429
SLC44A1	-0.467737914575413	0.951	0.986	2.75954694452361e-18	6.76392551572182e-14	617	429
TXN	0.948823832992762	0.715	0.55	2.9282079981624e-18	7.17733062429586e-14	617	429
LAP3	1.01681901558874	0.665	0.443	2.94886272249075e-18	7.22795741909708e-14	617	429
CCL2	0.764774027153734	0.942	0.9	1.24680653251798e-17	3.05604749185481e-13	617	429
MNDA	1.27048959669417	0.655	0.452	1.43527149290324e-17	3.51799395625512e-13	617	429
LINC-PINT	-0.621604229578778	0.823	0.923	1.5131980415453e-17	3.70899971963168e-13	617	429
FHIT	-0.493704525254897	0.932	0.967	2.53140006895306e-17	6.20471470901084e-13	617	429
SRP14	0.705430663465455	0.817	0.727	3.56569955903841e-17	8.73988618915904e-13	617	429
IFI44L	1.5116652621908	0.36	0.126	4.43908983642787e-17	1.08806530980684e-12	617	429
RNASE1	1.51334173687159	0.674	0.517	5.2046009679353e-17	1.27569974325062e-12	617	429
