gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
NUDT3	-0.604026495591429	0.678	0.807	0.00037975615530901	1	59	1190
SNRPA	-0.603888723732348	0.186	0.311	0.034335158367853	1	59	1190
OPA1	-0.603810012744219	0.424	0.561	0.0127740551993128	1	59	1190
ACER2	0.603728708188942	0.051	0.024	0.219664188238516	1	59	1190
PNN	-0.603714064264529	0.644	0.804	0.000406981025903974	1	59	1190
PLAG1	-0.603549237338396	0.017	0.055	0.215524203361896	1	59	1190
IGHMBP2	-0.603525153106145	0.068	0.111	0.302266366842225	1	59	1190
MACIR	-0.603517624722793	0.051	0.048	0.964579616823895	1	59	1190
EGLN2	0.603436310835387	0.186	0.124	0.168531437703225	1	59	1190
SHPRH	-0.603110503568924	0.254	0.441	0.00890645668870151	1	59	1190
PEX14	-0.602650515221285	0.339	0.458	0.0422664825243645	1	59	1190
DHX36	-0.60264328181884	0.407	0.539	0.0279439145670076	1	59	1190
DNAJC5	-0.602635284934975	0.576	0.755	0.00295507431692095	1	59	1190
LRRC28	0.602584175229259	0.339	0.211	0.0328095402767685	1	59	1190
SIGMAR1	-0.60257211556948	0.034	0.081	0.204621630190996	1	59	1190
SNX17	0.60239572600231	0.186	0.127	0.196866283417461	1	59	1190
RNF44	-0.602373576719903	0.034	0.137	0.0294992486244213	1	59	1190
CYB5R4	0.601714131763325	0.322	0.306	0.494075172708572	1	59	1190
SLC38A9	0.601616184467031	0.373	0.275	0.0792371236747115	1	59	1190
HAUS4	0.601541659749498	0.186	0.129	0.190244392884321	1	59	1190
ARHGDIB	0.601256170387461	0.763	0.75	0.0117498369132426	1	59	1190
TNFRSF10C	0.601059775245454	0.051	0.032	0.435830015103524	1	59	1190
SDHD	0.600824683299985	0.237	0.246	0.889082540688734	1	59	1190
RPL9	-0.600775339687284	0.61	0.844	0.000384660029382721	1	59	1190
TECPR2	-0.600727529950216	0.203	0.275	0.170739582795196	1	59	1190
SEC61G	0.600518979900851	0.305	0.282	0.524446098173585	1	59	1190
MCU	-0.600518818139226	0.864	0.924	0.00430905592886919	1	59	1190
LHPP	-0.600358410048667	0.051	0.066	0.624838731434823	1	59	1190
EDC3	-0.60028544088699	0.119	0.148	0.480866370661601	1	59	1190
CCDC186	0.600254196172581	0.186	0.145	0.337654790003083	1	59	1190
AKT2	-0.600192347988987	0.119	0.196	0.138237596433313	1	59	1190
PEX2	0.600038125738952	0.085	0.119	0.478726044817833	1	59	1190
REX1BD	0.600025869734094	0.186	0.15	0.404898931357737	1	59	1190
B4GALT4	-0.59996803077	0.051	0.071	0.535497894221889	1	59	1190
ALDH3A2	-0.599902898505344	0.153	0.193	0.371648816198264	1	59	1190
CEACAM4	0.599879684428305	0.237	0.176	0.207236852247307	1	59	1190
UBL5	0.599789920311316	0.322	0.301	0.48708049696941	1	59	1190
ZFYVE1	0.599725885225006	0.136	0.11	0.479943276682619	1	59	1190
MXI1	0.59938324630664	0.39	0.314	0.138367892685454	1	59	1190
FIS1	0.599363870975243	0.254	0.191	0.191285159970119	1	59	1190
RPS17	-0.599306458762102	0.627	0.756	0.00497876673247819	1	59	1190
AK9	-0.599302715029494	0.051	0.064	0.662815557834426	1	59	1190
CRY2	-0.599173845563267	0.051	0.071	0.531079624257218	1	59	1190
JRK	-0.59912637275882	0.068	0.133	0.147371491438358	1	59	1190
C3orf62	0.599055391171473	0.085	0.078	0.850601570730745	1	59	1190
TRAF3	-0.598725314080695	0.627	0.753	0.00291406743090694	1	59	1190
PRRC1	-0.598637303820188	0.169	0.281	0.0690981608633911	1	59	1190
CTSC	0.598577573215608	0.915	0.862	0.0037290373522671	1	59	1190
ADH5	0.598556380549561	0.203	0.17	0.448191052087831	1	59	1190
LIPE-AS1	-0.598518182374784	0.085	0.134	0.270623554071204	1	59	1190
SLC31A1	-0.598266334543977	0.186	0.201	0.583727469736539	1	59	1190
PUS3	0.598096821424952	0.068	0.045	0.430401063570153	1	59	1190
ZFHX3-AS1	0.59806318086243	0.22	0.15	0.129017635089591	1	59	1190
ZNF302	-0.59784846722994	0.068	0.082	0.673331154208042	1	59	1190
MPP7	-0.597733948529311	0.186	0.239	0.244085197230975	1	59	1190
LSM7	-0.597439256076813	0.254	0.326	0.139272299563004	1	59	1190
RBM25	-0.597099907411237	0.627	0.76	0.00393432435873283	1	59	1190
COX10-DT	-0.596530804507628	0.136	0.184	0.27963638683316	1	59	1190
RBM42	-0.596294741350671	0.051	0.118	0.124385604574068	1	59	1190
YJU2	0.596244022045847	0.034	0.058	0.470588039350062	1	59	1190
PHF19	0.596223902600002	0.169	0.138	0.497116140567732	1	59	1190
WIPI1	0.595964467736965	0.102	0.05	0.0996101158975921	1	59	1190
NRIP3	0.595898081482374	0.153	0.08	0.059641517546831	1	59	1190
TBXAS1	0.595870356922229	0.627	0.538	0.0187502967006531	1	59	1190
NFAT5	-0.595685422076885	0.441	0.586	0.00272443656817841	1	59	1190
AUTS2	0.595645545018558	0.119	0.09	0.473470448420785	1	59	1190
ANAPC16	-0.595305085522937	0.153	0.248	0.0867507894101192	1	59	1190
NDUFS6	-0.595296647508062	0.237	0.424	0.012353219941281	1	59	1190
CNTRL	-0.595229888364161	0.559	0.728	0.00145143428005041	1	59	1190
IDH1	0.59484220657547	0.458	0.339	0.0561410056306871	1	59	1190
IL13RA1	0.594774907637644	0.169	0.124	0.313083644558674	1	59	1190
SSNA1	0.594714235987237	0.068	0.096	0.521588782939077	1	59	1190
C5orf22	0.594307342238808	0.186	0.107	0.0789709520368858	1	59	1190
ARHGDIA	-0.593867217692349	0.237	0.472	0.00311326243680295	1	59	1190
GEN1	0.593811270974009	0.458	0.361	0.080549713140241	1	59	1190
RHOF	-0.593728379934708	0.051	0.094	0.265135518708625	1	59	1190
RNGTT	-0.593618284509557	0.559	0.716	0.00745258941797992	1	59	1190
SF3B2	-0.593308542519961	0.424	0.569	0.011877606844747	1	59	1190
FAF2	-0.593292721654438	0.373	0.39	0.296725782517911	1	59	1190
STK32B	-0.59305323889164	0.119	0.14	0.56181831800616	1	59	1190
KPNB1-DT	0.593026739781481	0.085	0.048	0.214828871603954	1	59	1190
SRF	-0.593016817055666	0.068	0.106	0.350000476468946	1	59	1190
EEF2	-0.592917874855033	0.593	0.742	0.00196868556381249	1	59	1190
PKMYT1	0.592754851703885	0.153	0.124	0.511155035905787	1	59	1190
CUL4B	-0.592566167502297	0.102	0.122	0.585547999129885	1	59	1190
RBM28	-0.592357067007214	0.254	0.391	0.0199974408423836	1	59	1190
PAXIP1-AS2	0.592226515769279	0.085	0.042	0.134847761024387	1	59	1190
TATDN1	-0.59211807033084	0.136	0.151	0.630397589102492	1	59	1190
MAP7D1	0.592014196939084	0.254	0.18	0.155984318969532	1	59	1190
CEP85L	0.591888087725781	0.424	0.304	0.0265688126405915	1	59	1190
RIPK2	-0.591785594250888	0.085	0.106	0.560804449831478	1	59	1190
LINC00869	-0.591274382867604	0.102	0.122	0.584201493218814	1	59	1190
FNBP4	-0.591185059241191	0.475	0.572	0.0214895258317782	1	59	1190
PPM1D	0.591170941161541	0.356	0.257	0.0896653453831967	1	59	1190
COX7C	0.591001723733615	0.525	0.464	0.16269445718723	1	59	1190
AP1S1	0.590920238436264	0.102	0.079	0.514046528605248	1	59	1190
DTD2	-0.590745720709268	0.051	0.078	0.436215305618676	1	59	1190
EML2	-0.59073502452978	0.034	0.125	0.0364045154797385	1	59	1190
ORMDL3	-0.59068242487887	0.034	0.074	0.25483122301748	1	59	1190
ENSG00000290886	-0.590527395099842	0.424	0.559	0.0457551546806552	1	59	1190
DPH3	0.590511013048275	0.102	0.059	0.195788090562764	1	59	1190
POP7	0.590498242828499	0.102	0.089	0.684000738233426	1	59	1190
UBE2K	-0.590371904360718	0.576	0.806	0.000436871208512939	1	59	1190
S100Z	0.590069321060644	0.593	0.6	0.370679442518513	1	59	1190
ZDHHC19	-0.590009643480524	0.085	0.128	0.322306872845016	1	59	1190
PKNOX1	-0.589960232644998	0.136	0.197	0.22575081832547	1	59	1190
TMEM185A	0.589614886106299	0.119	0.059	0.070437511682811	1	59	1190
EIF1B-AS1	0.589479470862519	0.203	0.151	0.261083094410717	1	59	1190
SLC25A19	0.5893030915631	0.203	0.148	0.278413767540147	1	59	1190
PURB	0.589228269092801	0.237	0.16	0.143968872339658	1	59	1190
NCAPD3	0.588731275615207	0.525	0.44	0.0342240715788946	1	59	1190
COLQ	0.588623370827827	0.068	0.04	0.321165807932806	1	59	1190
IFT74	-0.588623098682366	0.102	0.166	0.162897459939934	1	59	1190
MAP1S	0.588613497713404	0.068	0.048	0.503295139313962	1	59	1190
LGALS8	0.588351000462591	0.271	0.201	0.18429824801611	1	59	1190
LINC02987	-0.587952457735039	0.119	0.156	0.390233276682758	1	59	1190
EFHD2	0.587892811279271	0.475	0.394	0.0863239150697743	1	59	1190
POLD1	-0.587681108127156	0.153	0.196	0.28287136451298	1	59	1190
MAD2L1	-0.58763405584683	0.102	0.142	0.356124920617734	1	59	1190
STX11	0.587566163768836	0.136	0.115	0.550312597474208	1	59	1190
JTB	0.587549377613795	0.254	0.247	0.672284787792616	1	59	1190
TFAP4	-0.587512594055713	0.017	0.08	0.0836779481698218	1	59	1190
LIG1	0.587439898973438	0.39	0.374	0.630561990031683	1	59	1190
INO80B	0.587198741027787	0.068	0.078	0.822833045933804	1	59	1190
WBP4	-0.58707270564227	0.153	0.219	0.191645219312608	1	59	1190
PDE4D	-0.587049440730413	0.814	0.972	0.00012201904922747	1	59	1190
IL18	0.58702743425976	0.339	0.235	0.0656753963346074	1	59	1190
CLASP2	-0.587026589084974	0.424	0.58	0.0144700846447	1	59	1190
ACTN1	-0.586766966584528	0.475	0.672	0.00562659717538842	1	59	1190
HNRNPM	-0.586622331907652	0.525	0.719	0.000435976592799013	1	59	1190
RAP2C-AS1	0.586596202238249	0.169	0.08	0.0228506509366527	1	59	1190
SNCA	0.58653580873739	0.051	0.033	0.460354392876949	1	59	1190
CHERP	-0.586492934830355	0.136	0.201	0.217781611461954	1	59	1190
LRRC8C	0.586256267276776	0.407	0.271	0.0312088740209235	1	59	1190
NEU3	-0.58578653625368	0.203	0.239	0.381123255152803	1	59	1190
AP3S1	-0.585564430047078	0.271	0.358	0.0994923016020619	1	59	1190
RIBC2	0.585533181672082	0.051	0.034	0.489382551588846	1	59	1190
CHD7	-0.585276090385778	0.458	0.595	0.017376249544414	1	59	1190
MAP3K11	-0.585062097889169	0.102	0.121	0.595530064979785	1	59	1190
TRIM66	0.584891586356712	0.305	0.24	0.20459404164658	1	59	1190
ATP5MF	0.584797414457042	0.322	0.267	0.383299086812674	1	59	1190
LINC00963	0.584471241331299	0.169	0.125	0.317335219907329	1	59	1190
SNX9	0.584456266972627	0.339	0.276	0.256835211811917	1	59	1190
CCDC127	0.584342997515086	0.068	0.073	0.932638888783043	1	59	1190
TAF13	0.584263270133489	0.186	0.12	0.144011734452503	1	59	1190
MGA	-0.583935429977563	0.356	0.53	0.00987173980644058	1	59	1190
CHI3L1	0.583829388587541	0.051	0.031	0.411447946584972	1	59	1190
SLC25A32	-0.583806458094667	0.102	0.141	0.349068414622005	1	59	1190
TPM1	0.583735697166098	0.051	0.036	0.563676799804534	1	59	1190
SNF8	-0.583613196210975	0.169	0.239	0.185274369566337	1	59	1190
TIA1	0.583525516360071	0.186	0.154	0.458223879295496	1	59	1190
TSN	-0.583511851102752	0.136	0.215	0.135514331958306	1	59	1190
TESC	-0.58342082150352	0.661	0.803	0.00372095780436495	1	59	1190
SMARCD1	-0.583336123900453	0.085	0.111	0.494825966268768	1	59	1190
MBOAT1	0.583331119139418	0.339	0.242	0.0922193147739872	1	59	1190
KIF21B	0.583327560783436	0.237	0.203	0.518726614423201	1	59	1190
KMO	0.583098343047899	0.085	0.043	0.145779253172498	1	59	1190
IFNAR2	0.583018001679566	0.695	0.518	0.00394090856257698	1	59	1190
GAB1	0.58300781300298	0.339	0.222	0.0332838833406204	1	59	1190
CLNS1A	-0.58289389211913	0.407	0.465	0.0617732654423614	1	59	1190
CWF19L2	-0.582639272154156	0.271	0.392	0.0629972138841749	1	59	1190
DHX34	0.582591988351609	0.102	0.087	0.636843728826813	1	59	1190
TNPO1	-0.582448758912733	0.559	0.617	0.0386229269167274	1	59	1190
FXYD5	0.58228819393775	0.475	0.371	0.0703466196372347	1	59	1190
VDAC2	-0.582257026058922	0.136	0.21	0.15368199081916	1	59	1190
ADAM9	0.582251651175712	0.305	0.275	0.591355951070431	1	59	1190
LIMK2	0.582139049503836	0.644	0.54	0.102094915355305	1	59	1190
PIGQ	-0.582064214218139	0.034	0.063	0.363244403443279	1	59	1190
PTPA	-0.58200655327699	0.153	0.201	0.302467918551595	1	59	1190
ATG16L2	0.5814529682242	0.322	0.22	0.104626136643	1	59	1190
TMEM163	-0.581409332389808	0.051	0.077	0.441599964364518	1	59	1190
SPG21	0.581291817243192	0.356	0.279	0.157041163836603	1	59	1190
TMED7	-0.581258829609302	0.102	0.157	0.254814171378471	1	59	1190
MGAT4A	0.581237577089733	0.576	0.482	0.0390497736544798	1	59	1190
MTERF1	-0.581139609782785	0.119	0.206	0.117493234491319	1	59	1190
ABCD3	-0.580709570050864	0.339	0.426	0.0848475247803258	1	59	1190
RPS6KB1	-0.580540663432012	0.271	0.38	0.0678016099781011	1	59	1190
CTNNA3	-0.580456828949352	0.051	0.07	0.556241758264463	1	59	1190
HACD3	-0.58032332211572	0.373	0.464	0.0825526696137789	1	59	1190
ARL11	-0.580197919633735	0.119	0.113	0.970740948181051	1	59	1190
SLC38A4-AS1	0.580158067773572	0.458	0.452	0.525671826167272	1	59	1190
SRSF3	-0.58010907690076	0.492	0.661	0.00220188084587449	1	59	1190
PSMD6-AS2	0.580008075501524	0.034	0.059	0.434611285356246	1	59	1190
CHAF1B	-0.579891624717551	0.085	0.113	0.483106915867469	1	59	1190
NUP153	-0.579777148899017	0.356	0.572	0.00386493464388024	1	59	1190
SFXN5	0.579727362479301	0.441	0.364	0.135668890116117	1	59	1190
PACC1	0.579289273341011	0.169	0.146	0.532554807074473	1	59	1190
C18orf54	0.579153403423803	0.136	0.075	0.10187224296857	1	59	1190
SNRPC	-0.579012114810869	0.169	0.284	0.0552212497452833	1	59	1190
CAMLG	0.578978822983445	0.102	0.099	0.870648771408791	1	59	1190
