gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj	n1	n2
MT1G	-2.86289408104385	0.299	0.969	2.01954879738295e-83	4.95011605726536e-79	341	356
MT1H	-3.56804533090886	0.114	0.86	4.89158833520378e-79	1.1989772168418e-74	341	356
MT-CO1	-1.50415685983316	0.985	1	4.16214437074303e-74	1.02018320671282e-69	341	356
LYZ	-3.71771471048507	0.282	0.893	1.41050127114961e-73	3.4572796657148e-69	341	356
TMSB4X	-1.44410590431253	0.853	0.997	1.56794038746585e-67	3.84317868371754e-63	341	356
MT-CO2	-1.26429236541734	0.959	1	9.40383776434347e-59	2.30497467441823e-54	341	356
AZU1	-3.51091475552575	0.138	0.725	7.30559787723385e-57	1.79067509568879e-52	341	356
SRGN	-1.8978658342879	0.792	0.994	7.66436031146759e-57	1.87861135594382e-52	341	356
MT-CO3	-1.22141301012289	0.991	0.997	3.70020407615096e-54	9.06957021105362e-50	341	356
ENSG00000291144	-1.50755580693884	0.628	0.978	8.81835446088539e-53	2.16146686190762e-48	341	356
FTL	-0.821090653044954	1	1	9.60994994137845e-53	2.35549483013127e-48	341	356
SPP1	-1.37966896693932	0.771	0.997	2.68183751261581e-52	6.57345192717262e-48	341	356
MT-CYB	-1.07320041943747	0.886	0.994	1.48458127340831e-44	3.6388571592511e-40	341	356
MRC1	-1.64572748107747	0.399	0.913	1.62215059673709e-44	3.97605332766228e-40	341	356
MT-ATP6	-1.0415201347845	0.906	1	2.21744358892231e-43	5.43517598080747e-39	341	356
KCNH7	-1.64420375961456	0.443	0.885	2.08591641874925e-42	5.11278973399628e-38	341	356
FNDC3B	-0.920577307990524	0.968	0.997	4.03103898408684e-40	9.88047965389526e-36	341	356
NAMPT	2.7418483155902	0.792	0.565	4.43394607919453e-39	1.08680452347137e-34	341	356
ACSM3	-2.21918683296868	0.179	0.683	2.74753843788462e-38	6.73449146509899e-34	341	356
SERPINB1	-1.24196612209282	0.633	0.941	3.70181119992107e-38	9.07350943212654e-34	341	356
EPB41L3	1.99294421548981	0.812	0.646	2.69397308033463e-37	6.60319741720821e-33	341	356
IPCEF1	-2.74013470007046	0.082	0.545	5.8753081473116e-37	1.44009677998755e-32	341	356
RPS2	-1.06108920000216	0.774	0.978	6.37065181110792e-37	1.56151046542066e-32	341	356
FOS	-1.80931792280473	0.176	0.685	1.45481912948013e-36	3.56590716826874e-32	341	356
LYST	-1.45700693910269	0.44	0.865	2.21127385778499e-36	5.42005335281679e-32	341	356
TXNIP	1.26303608986305	0.894	0.851	6.75964454142936e-36	1.65685647354975e-31	341	356
SPN	-1.6276550557876	0.229	0.736	2.04342377101403e-35	5.00863600513248e-31	341	356
MT-ND4	-0.863050076649404	0.941	0.997	3.1822075636507e-35	7.79990895926423e-31	341	356
MT-ND1	-1.12471639265653	0.836	0.989	4.80522818074295e-35	1.1778094793819e-30	341	356
CSTB	-1.47391254350482	0.34	0.826	8.55234429090657e-35	2.09626510914411e-30	341	356
SESN3	-2.05719277710695	0.17	0.635	1.34606529351656e-34	3.29934064093844e-30	341	356
RPS19	-0.977117979898868	0.663	0.969	2.00044021089773e-34	4.90327900093143e-30	341	356
MT-ND3	-1.09257533667103	0.748	0.983	3.56534342508446e-34	8.73901326922452e-30	341	356
MT-ND5	-1.28331013015098	0.654	0.972	4.276866428534e-34	1.04830273029797e-29	341	356
HDAC4	-1.37807260473476	0.293	0.801	8.75079617426546e-34	2.14490765027421e-29	341	356
RPLP0	-1.10579208728348	0.569	0.921	8.35650411666381e-33	2.04826272403547e-28	341	356
RPL3	-1.12074639939141	0.525	0.924	1.0826160293638e-32	2.6536001495736e-28	341	356
CYBB	-1.2770469251289	0.598	0.89	4.31193084619863e-32	1.05689736971175e-27	341	356
RPLP1	-0.723155598362552	0.924	1	5.1426668675335e-32	1.26051907590114e-27	341	356
RPS28	-0.944122077648895	0.692	0.958	9.68860343296365e-32	2.37477358745372e-27	341	356
S100A9	-1.21393740820811	0.534	0.91	1.90460015797259e-31	4.66836544720662e-27	341	356
EEF1G	-1.109563169343	0.51	0.904	2.2842747267308e-31	5.59898578268987e-27	341	356
EEF1A1	-0.708314438101926	0.927	0.997	2.78199387769213e-31	6.81894519361119e-27	341	356
SYT1	-1.92446297744943	0.155	0.601	3.83979944984846e-31	9.41173243152357e-27	341	356
RPSA	-1.28710841721329	0.431	0.86	5.41039310862587e-31	1.32614145485529e-26	341	356
S100A4	-1.34730176706764	0.478	0.862	2.7977272728633e-30	6.85750931851525e-26	341	356
LINC02147	-1.77619925549116	0.264	0.702	4.83948053005034e-30	1.18620507272064e-25	341	356
MT1X	-2.00809293515133	0.126	0.556	1.24233143698092e-29	3.04507858518393e-25	341	356
MT-ND4L	-1.04943260454942	0.478	0.91	1.66916450777692e-29	4.091289125012e-25	341	356
TET2	-1.03501773280215	0.654	0.919	2.06257349506594e-29	5.05557389375614e-25	341	356
MT-ND2	-0.830791708219691	0.897	0.983	8.33018131653006e-29	2.04181074249468e-24	341	356
RPL27A	-1.05636538844633	0.475	0.899	2.42216391601762e-28	5.9369659745508e-24	341	356
FOSB	-3.12523817420548	0.029	0.368	1.02820008219533e-27	2.52022122146897e-23	341	356
CD84	-1.59899847351935	0.179	0.61	2.01184085080118e-27	4.93122310939876e-23	341	356
RETN	-3.12662698082896	0.021	0.346	2.89267101987477e-27	7.09022593681505e-23	341	356
IGFBP7	-1.67433474497008	0.249	0.646	4.82371885488871e-27	1.18234172852177e-22	341	356
