test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
WNT5A	0.842893821154692	0.00676090106154703	0.00472121999349585	0.00744077579722657	145	Niche-stressed primitive AML
SPARC	0.85201513462383	0.00673427584257563	0.00469459477452445	0.00279122789928475	146	Niche-stressed primitive AML
PTPRM	0.837843316104186	0.00673311795672932	0.00469343688867814	0.0489166272279523	147	Niche-stressed primitive AML
INHBA	0.804634978548023	0.00646664869859956	0.00442696763054839	0.0347847017842212	148	Niche-stressed primitive AML
PTDSS1	0.816289990203034	0.00645946750494561	0.00441978643689443	0.0463192870878174	149	Niche-stressed primitive AML
CCN1	0.7939258808824	0.00645256662616007	0.00441288555810889	0.039300563826178	150	Niche-stressed primitive AML
APP	0.835056248099727	0.00639417905981791	0.00435449799176673	0.00195958932948369	151	Niche-stressed primitive AML
SERPINE2	0.8086382216817	0.00625846002286469	0.00421877895481351	0.0320608663349394	152	Niche-stressed primitive AML
ANGPTL4	0.820783081652646	0.00615835040091427	0.00411866933286309	0.00606912822164974	153	Niche-stressed primitive AML
LTBP1	0.821543191108409	0.00614667373873641	0.00410699267068523	0.0405084172050911	154	Niche-stressed primitive AML
CCN2	0.795919056788622	0.00611844746025176	0.00407876639220058	0.0268585639777388	155	Niche-stressed primitive AML
CALR	0.839904057295362	0.00611211711546111	0.00407243604740993	0.0071578089009327	156	Niche-stressed primitive AML
TGFB2	0.766241005371443	0.00558049606565453	0.00354081499760335	0.021065964913652	157	Niche-stressed primitive AML
CCL2	0.824583628931457	0.00551996772478278	0.0034802866567316	-0.00513825794968831	158	Niche-stressed primitive AML
IL32	0.792659031789466	0.00550841911596224	0.00346873804791106	0.00318873319445972	159	Niche-stressed primitive AML
TSPAN3	0.754079254079256	0.00542862810654228	0.0033889470384911	0.0395048239143808	160	Niche-stressed primitive AML
FST	0.76958548697679	0.00519152164209851	0.00315184057404734	0.0348057981178853	161	Niche-stressed primitive AML
VEGFC	0.792050944224856	0.00517159069005755	0.00313190962200637	-0.00513714952437108	162	Niche-stressed primitive AML
ADM	0.79892571196919	0.0049361636220032	0.00289648255395202	-0.00526272209623784	163	Niche-stressed primitive AML
PLAU	0.786561264822135	0.00434023596899449	0.00230055490094331	-0.00339863891323866	164	Niche-stressed primitive AML
MIF	0.765835613661699	0.00430387075075931	0.00226418968270813	0.00291598971098654	165	Niche-stressed primitive AML
EPHA4	0.779787845005238	0.00429686678537832	0.00225718571732714	0.0109583408779119	166	Niche-stressed primitive AML
