test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
INHBA	0.766123054114159	0.00623700352120306	0.00401806860996045	0.0332801445370996	126	HSPC / LSC-like AML
APP	0.788763281443046	0.00612805092944697	0.00390911601820437	0.00138473511004957	127	HSPC / LSC-like AML
LYZ	0.76735853718804	0.00610395060320626	0.00388501569196366	0.0403061007045514	128	HSPC / LSC-like AML
ANGPTL4	0.784330985915495	0.00597778195634337	0.00375884704510077	0.00510001396520516	129	HSPC / LSC-like AML
PTDSS1	0.760100074128984	0.00596319999857461	0.00374426508733201	0.0410571515916171	130	HSPC / LSC-like AML
CCN1	0.746077341240425	0.00595274426721074	0.00373380935596813	0.0328019338234541	131	HSPC / LSC-like AML
CALR	0.797473437113913	0.00580435866024295	0.00358542374900035	0.00541261403162609	132	HSPC / LSC-like AML
CCN2	0.751899555226095	0.00577712337374701	0.00355818846250441	0.0225287768292491	133	HSPC / LSC-like AML
SERPINE2	0.755930318754634	0.00567069242189231	0.00345175751064971	0.0279457381666569	134	HSPC / LSC-like AML
TGFB2	0.734417469730665	0.00547863507449076	0.00325970016324816	0.0208282467578992	135	HSPC / LSC-like AML
CCL2	0.785720904373612	0.0053868216091195	0.00316788669787689	-0.00561577926439312	136	HSPC / LSC-like AML
TSPAN3	0.70717506795157	0.00523170014976874	0.00301276523852613	0.0351724770509325	137	HSPC / LSC-like AML
FST	0.707344946874222	0.00487471045197698	0.00265577554073438	0.02976123745909	138	HSPC / LSC-like AML
MIF	0.717213367926859	0.0041657651513381	0.0019468302400955	0.001592613704175	139	HSPC / LSC-like AML
PLAU	0.7290585618977	0.00408698773027673	0.00186805281903412	-0.0057236238479798	140	HSPC / LSC-like AML
