test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
NUCB2	0.767100561510969	0.00494451527086532	0.00327669039247755	0.0363193543206738	133	GMP-like AML
CCN1	0.754048911782447	0.0048715236515913	0.00320369877320354	0.0302512937388663	134	GMP-like AML
CALR	0.809967979952665	0.0047241157284527	0.00305629085006493	0.00589451176664047	135	GMP-like AML
TGFB2	0.755000232029328	0.00464004151490439	0.00297221663651662	0.0206044916817477	136	GMP-like AML
PTDSS1	0.763318483456304	0.00460179339681162	0.00293396851842385	0.0361097367916771	137	GMP-like AML
TSPAN3	0.72089192073878	0.00442518341159864	0.00275735853321088	0.0334005336318354	138	GMP-like AML
ANGPTL4	0.787240707225393	0.0044021127589573	0.00273428788056953	0.00206094957078716	139	GMP-like AML
FST	0.722864170031083	0.00405578093684724	0.00238795605845948	0.0272765345358937	140	GMP-like AML
MIF	0.726495429022226	0.00326502960369305	0.00159720472530528	0.00191131004172839	141	GMP-like AML
PLAU	0.739280245022965	0.00321792734836184	0.00155010246997407	-0.00446549382238738	142	GMP-like AML
