signature	delta	p_value	p_adj
S.Score	0.243636363636364	0.0405602309379126	0.121680692813738
G2M.Score	0.394125874125874	0.000921391327137394	0.00552834796282436
UCell_laurenti_hsc_quiescence	0.028997668997669	0.807956794558697	0.876007854110571
UCell_cheung_rando_quiescence	-0.0186480186480187	0.876007854110571	0.876007854110571
UCell_tikhonova_msc_response	-0.203916083916084	0.0865317300533451	0.137970614369008
UCell_isr_atf4_targets	0.200466200466201	0.0919804095793388	0.137970614369008
