"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.77027224004084,0.744,0.321,0,"0","NUCB2"
0,2.68356321697137,0.518,0.097,0,"0","BRCA1"
0,2.5198381750997,0.52,0.1,0,"0","NCAPG2"
0,2.92558122044135,0.488,0.069,0,"0","BPI"
0,2.78496867635288,0.511,0.093,0,"0","NOCT"
0,1.89529863292816,0.945,0.527,0,"0","RALGAPA2"
0,1.93082857981017,0.59,0.173,0,"0","NUP210"
0,2.19399900007246,0.555,0.139,0,"0","VRK1"
0,2.22165322911986,0.557,0.142,0,"0","EZH2"
0,2.92960462906494,0.493,0.078,0,"0","ENSG00000290886"
0,3.02891000162244,0.482,0.068,0,"0","MCM4"
0,2.46879133010165,0.565,0.151,0,"0","AIG1"
0,1.65223677573191,0.902,0.492,0,"0","FAM107B"
0,4.80225623239956,0.429,0.021,0,"0","TSPOAP1"
0,1.63234415208001,0.748,0.341,0,"0","CENPP"
0,3.33577664164626,0.456,0.05,0,"0","FANCA"
0,2.20222567173974,0.544,0.139,0,"0","MMS22L"
0,2.00550183150036,0.91,0.509,0,"0","LYST"
0,2.07154058243399,0.584,0.183,0,"0","IPCEF1"
0,2.19041087576581,0.498,0.098,0,"0","TOP2A"
0,1.42187575243432,0.799,0.4,0,"0","ANP32B"
0,1.92625865044669,0.601,0.205,0,"0","CHSY1"
0,3.30313813877822,0.442,0.052,0,"0","NEIL3"
0,1.66497096101176,0.536,0.147,0,"0","STMN1"
0,1.59097504868211,0.857,0.47,0,"0","EIF3A"
0,2.29692984779161,0.488,0.103,0,"0","CENPK"
0,2.01465828943089,0.496,0.117,0,"0","SPTBN1"
0,2.07698510402465,0.516,0.142,0,"0","ERLIN1"
0,2.35914376986614,0.475,0.102,0,"0","KNTC1"
0,2.58252303496865,0.467,0.095,0,"0","BRI3BP"
0,1.78316000954781,0.804,0.437,0,"0","MCU"
0,1.48783147424246,0.896,0.531,0,"0","BAZ1A"
0,1.97557960084967,0.457,0.093,0,"0","TPX2"
0,3.17594751793946,0.404,0.047,0,"0","SERPINB10"
0,2.81459304697678,0.415,0.058,0,"0","ANLN"
0,2.90643968294947,0.415,0.059,0,"0","PCLAF"
0,2.32857450356082,0.445,0.095,0,"0","BLM"
0,3.11623288495922,0.392,0.045,0,"0","DTL"
0,2.87043334908373,0.399,0.054,0,"0","CLSPN"
0,2.28607564466726,0.438,0.099,0,"0","SLC7A1"
0,1.36140817337056,0.861,0.524,0,"0","FAF1"
0,2.71390107818517,0.394,0.058,0,"0","CIT"
0,2.74628742025433,0.401,0.067,0,"0","POLE"
0,4.59245957291844,0.35,0.016,0,"0","ERG"
0,2.1727899199857,0.41,0.078,0,"0","NUSAP1"
0,2.87611189495258,0.379,0.049,0,"0","KIF15"
0,2.40267262806873,0.418,0.088,0,"0","WDHD1"
0,2.55078250913318,0.392,0.071,0,"0","KIF11"
0,2.48868355090419,0.387,0.067,0,"0","KNL1"
0,2.83305074813476,0.366,0.052,0,"0","BUB1B"
0,1.39242339973931,0.893,0.583,0,"0","DENND1A"
0,2.67768104344491,0.362,0.06,0,"0","CHAF1A"
0,1.3402063288798,0.891,0.596,0,"0","MT-ND4L"
0,3.02987227868191,0.343,0.051,0,"0","PCBP3"
0,2.75988155809134,0.341,0.051,0,"0","DEPDC1B"
0,3.67350515555338,0.315,0.029,0,"0","PRSS57"
0,3.2715082345591,0.325,0.042,0,"0","CTSG"
0,2.91743868189872,0.327,0.044,0,"0","NKG7"
0,3.34423556256997,0.311,0.034,0,"0","KBTBD11"
0,3.32090930383448,0.297,0.031,0,"0","XRCC2"
0,1.81951007353166,0.95,0.684,0,"0","SLC39A11"
0,3.23144767645815,0.292,0.032,0,"0","MND1"
0,3.34658236266596,0.286,0.028,0,"0","CDT1"
0,1.14597877016797,0.93,0.675,0,"0","CUX1"
0,4.05447387419157,0.277,0.023,0,"0","ABCA13"
0,1.64003627195438,0.955,0.707,0,"0","MT-ND5"
0,3.32445488202821,0.264,0.025,0,"0","MCM10"
0,4.07705845456186,0.252,0.015,0,"0","MS4A3"
0,1.52068509405904,0.991,0.775,0,"0","MT-ND1"
0,1.20886772000438,0.973,0.767,0,"0","MT-ND3"
0,1.24230855695227,0.978,0.808,0,"0","CHST11"
0,1.13325800293787,0.988,0.847,0,"0","LRMDA"
0,0.964748308669515,0.984,0.845,0,"0","MT-ND2"
0,1.33146475159771,0.961,0.839,0,"0","SRGN"
0,1.10493630402495,0.997,0.883,0,"0","ATP8B4"
0,1.48308506708578,0.989,0.894,0,"0","PTMA"
0,1.1588222378625,0.982,0.924,0,"0","MT-ATP6"
0,1.00756834156519,0.996,0.961,0,"0","MT-ND4"
0,1.15706405451928,0.998,0.989,0,"0","MT-CO2"
0,1.3141064394309,1,0.996,0,"0","MT-CO3"
0,1.04510627182502,0.999,0.997,0,"0","MT-CO1"
1.40538247447621e-307,2.10449750483632,0.544,0.168,3.03211268868243e-303,"0","MTHFD1L"
2.50979996798227e-307,2.21094070607865,0.493,0.131,5.41489343092175e-303,"0","CST7"
9.77088519821653e-307,1.51701586906904,0.795,0.429,2.10806848151522e-302,"0","SND1"
2.34807305721317e-305,2.01984308622829,0.516,0.143,5.06596762093741e-301,"0","MIR142HG"
1.04528454086878e-302,2.94170660166698,0.304,0.039,2.2552013969244e-298,"0","POLE2"
1.67641280578651e-302,2.52215429416461,0.413,0.09,3.6168606284844e-298,"0","MBOAT2"
1.12533429251348e-301,2.26755677097394,0.424,0.093,2.42790873609784e-297,"0","ANXA3"
2.32803467117576e-300,2.05462389799099,0.384,0.071,5.02273480306169e-296,"0","ASPM"
