"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PELATON",5.8839707282529e-18,1.03629259174092,0.137,0.069,1.26946668462056e-13
"TCF3",6.05557615751063e-18,-0.952348594224275,0.082,0.154,1.30649055598292e-13
"NHSL1",6.18334860899952e-18,0.429271998128355,0.393,0.281,1.33405746239165e-13
"SIGLEC1",6.32604649582851e-18,0.571963368742289,0.258,0.163,1.364844531475e-13
"ZNF586",6.54110497710357e-18,-0.669698515649022,0.184,0.277,1.4112433988101e-13
"PSMB9",6.80295369217254e-18,1.09394018165175,0.198,0.121,1.46773725908623e-13
"CAPNS1",6.81878708330547e-18,0.813061732274192,0.283,0.196,1.47115331322315e-13
"ABCD3",7.62394209936297e-18,-0.656950058636027,0.184,0.276,1.64486550793756e-13
"SPDL1",7.75262120401848e-18,-1.10465570598605,0.047,0.107,1.67262802476699e-13
"SWSAP1",7.82539543835677e-18,6.27128985716593,0.024,0,1.68832906582547e-13
"CPTP",7.82698259993396e-18,6.38232116955467,0.024,0,1.68867149593575e-13
"GSTM4",7.82795084635244e-18,6.38232116955467,0.024,0,1.68888039510054e-13
"SHISA4",7.82795587463431e-18,6.40002317128813,0.024,0,1.68888147995235e-13
"ENSG00000234261",8.1121866918904e-18,-1.23133676416695,0.05,0.111,1.75020427877535e-13
"SLC30A7",8.17251285847721e-18,-0.538937896193358,0.276,0.377,1.76321964921646e-13
"FUOM",8.51012446467245e-18,1.1312804336279,0.147,0.078,1.83605935325308e-13
"ARSB",8.59462356128744e-18,-0.456889466328572,0.361,0.468,1.85429003334776e-13
"EPC2",8.6179073853905e-18,-0.485828425506954,0.339,0.445,1.859313518398e-13
"TNRC6B",8.68184748438641e-18,-0.337516575295553,0.743,0.765,1.87310859475637e-13
"ZNF121",8.84127719728954e-18,-0.878854519202044,0.107,0.184,1.90750555531522e-13
"ZNF419",8.88196904554723e-18,-6.26130958150706,0,0.025,1.91628482157682e-13
"HBG1",8.89317542232125e-18,-7.71908006577443,0,0.025,1.91870259736581e-13
"RPS6KA1",8.92704464101061e-18,-0.606595036035424,0.212,0.307,1.92600988129804e-13
"ENSG00000276672",8.9436896656183e-18,-2.48924931277413,0.008,0.043,1.92960104535715e-13
"ASH2L",9.19556140644073e-18,-0.794030101047077,0.122,0.204,1.98394237343959e-13
"RMI2",9.49237447671846e-18,-1.44691367406888,0.021,0.067,2.04797979335201e-13
"FUT8",9.66992600175104e-18,-0.627873376417983,0.292,0.391,2.08628653487779e-13
"PEX26",9.73823967168408e-18,-0.855948233794017,0.109,0.188,2.10102520916584e-13
"POFUT1",9.74239981219052e-18,-1.04299817551931,0.067,0.133,2.10192275948011e-13
"CCDC12",1.00383748062002e-17,-0.580482991295421,0.207,0.305,2.16577936443768e-13
"CADM1",1.02691474121451e-17,0.773284533854655,0.206,0.124,2.21556855417032e-13
"NCOA7",1.03010089210724e-17,-0.485148481177108,0.309,0.413,2.22244267472137e-13
"CRAMP1",1.03630401871728e-17,-0.811829168987992,0.122,0.204,2.23582592038252e-13
"ZNHIT6",1.06830852997279e-17,-0.641225287636471,0.174,0.266,2.30487565341629e-13
"TCF19",1.07378081931505e-17,-1.65972900933549,0.018,0.062,2.31668211767223e-13
"TTC7A",1.07570133875897e-17,-0.481701343205593,0.33,0.433,2.32082563837249e-13
"CSGALNACT1",1.07693554264239e-17,-0.386132461888094,0.218,0.327,2.32348843325096e-13
"FOXP2",1.11995290014369e-17,0.720044817576075,0.218,0.134,2.41629838206e-13
"PON2",1.12312089175518e-17,0.814493015615367,0.23,0.146,2.4231333239618e-13
"GTF2F2",1.17237701811729e-17,-0.495406197981371,0.324,0.425,2.52940341658804e-13
"H2AC14",1.17363076182933e-17,-1.72890445828199,0.016,0.058,2.53210836864679e-13
"TMEM160",1.1777895131899e-17,-0.850307876516064,0.106,0.184,2.54108087470721e-13
"AKAP10",1.17793547098293e-17,-0.433850074047288,0.357,0.465,2.54139577864567e-13
"LY86",1.1920505105745e-17,0.642080443355602,0.212,0.127,2.57184897656448e-13
"SNX14",1.20095267338792e-17,-0.466364888687278,0.363,0.466,2.59105539283444e-13
"LYN",1.25156397555034e-17,0.188297678163856,0.863,0.734,2.70024927724985e-13
"ATP1B1",1.26603781899046e-17,0.786833488970802,0.189,0.11,2.73147659447191e-13
"MPHOSPH8",1.27650579157755e-17,-0.482736591530689,0.303,0.406,2.75406124532856e-13
"ENSG00000289698",1.33544714917082e-17,6.29039868011363,0.024,0,2.88122722433605e-13
"C6orf226",1.33561302099636e-17,6.34625191484715,0.024,0,2.88158509279964e-13
"DDAH2",1.36287997435326e-17,1.06984760560135,0.147,0.078,2.94041354466716e-13
"FBXL19",1.37219267100461e-17,-1.19304217639985,0.054,0.116,2.96050568769244e-13
"KHDC4",1.40492601238111e-17,-0.852175833183728,0.11,0.189,3.03112787171224e-13
"JRK",1.45090298890783e-17,-1.37935549827144,0.035,0.088,3.13032319856865e-13
"MON1A",1.47099518154903e-17,-6.2429310521922,0,0.025,3.17367210419204e-13
"KIAA0319",1.47779107237427e-17,1.13690596852809,0.1,0.043,3.1883342386475e-13
"CEP57",1.50135276299889e-17,-0.606853684397038,0.214,0.31,3.23916858617009e-13
"SART1",1.50341338143331e-17,-0.773261512728505,0.123,0.204,3.24361437044237e-13
"LCP1",1.54733613831552e-17,0.323216854883675,0.874,0.846,3.33837771841574e-13
"RER1",1.56406512071647e-17,0.812913483028354,0.279,0.194,3.37447049794578e-13
"SNX27",1.57333792023655e-17,-0.603197022571353,0.247,0.342,3.39447656291037e-13
"MGAT5",1.60078045524966e-17,-0.32976600932757,0.753,0.789,3.45368383220114e-13
"CNIH3",1.60437460239507e-17,0.678507851985469,0.276,0.183,3.46143820466737e-13
"SLC7A11",1.61322979621389e-17,0.359836760421614,0.439,0.331,3.48054328533146e-13
"NQO1",1.66312773901027e-17,1.55072749390907,0.083,0.032,3.58819809691465e-13
"MCMBP",1.70211637014567e-17,-0.718159229221915,0.149,0.235,3.67231606858928e-13
"DAD1",1.73372012974115e-17,0.838352517714017,0.232,0.149,3.74050117991653e-13
"NLRC3",1.74224361868245e-17,-0.78307088905721,0.057,0.121,3.75889060730739e-13
"PROSER2",1.76414092941105e-17,-1.42741480960442,0.031,0.083,3.80613405520434e-13
"C1orf159",1.77386319122019e-17,-1.03184715401979,0.071,0.139,3.82710983505757e-13
"RASSF3",1.81117094602797e-17,-0.574929380066852,0.299,0.393,3.90760131605534e-13
"GALNT10",1.85586624483463e-17,-0.675882889941488,0.235,0.33,4.00403142323071e-13
"ARL6IP6",1.86397693321429e-17,-0.722894853297689,0.141,0.226,4.02153023340984e-13
"POLR3E",1.86974926788933e-17,-1.01477278516443,0.064,0.129,4.03398404547124e-13
"POLR2B",1.91511538027715e-17,-0.5295476348018,0.24,0.339,4.13186143294796e-13
"CCM2",1.9662884169053e-17,-0.451819417620379,0.36,0.466,4.24226725947318e-13
"ICE2",1.97338525957878e-17,-0.64495695406835,0.174,0.264,4.25757869754121e-13
"MRPL12",1.99521807583922e-17,-0.911579247469461,0.094,0.168,4.30468299862311e-13
"DCP2",2.00673959010268e-17,-0.476666698091521,0.334,0.436,4.32954066564653e-13
"SLC2A5",2.01756542280075e-17,-0.946529834380699,0.116,0.194,4.35289739969262e-13
"CLC",2.02236653426994e-17,-1.58353805835779,0.014,0.055,4.36325579768739e-13
"OTOA",2.06276390766254e-17,1.60613888902797,0.077,0.028,4.45041313078192e-13
"PARP12",2.07284354105597e-17,0.654302714139542,0.279,0.187,4.47215993982826e-13
"PRICKLE1",2.08179572903819e-17,-1.0714669413627,0.089,0.161,4.4914742853999e-13
"NAV3",2.1518333146728e-17,0.624049044042005,0.3,0.206,4.64258037640658e-13
"FAM135A",2.18539782872003e-17,-0.646509216769971,0.213,0.304,4.71499581546346e-13
"EIF1B",2.1864285377863e-17,0.907793686998872,0.242,0.16,4.71721957027394e-13
"SLC25A33",2.20118340208481e-17,-1.10191874266513,0.065,0.13,4.74905318999798e-13
"SDHD",2.24627714013056e-17,0.743856781467155,0.317,0.23,4.84634292983169e-13
"ENSG00000261573",2.27836658088273e-17,6.25192453229899,0.024,0,4.91557589825449e-13
"CLSTN3",2.27851149881402e-17,6.27128985716593,0.024,0,4.91588855869125e-13
"ZNF236",2.33119748435399e-17,-0.629213458007936,0.211,0.305,5.02955857249374e-13
"SET",2.34469756652204e-17,-0.417102643110909,0.461,0.556,5.0586849997713e-13
"ANKRD44",2.35948222190083e-17,-0.385270884858612,0.677,0.717,5.09058289375105e-13
"LRP3",2.43616743696083e-17,-6.2429310521922,0,0.024,5.25603124524298e-13
"DGAT2",2.43664680643549e-17,-6.33256826467688,0,0.024,5.25706548488458e-13
"SOX4",2.48966493413131e-17,-0.980465644607115,0.081,0.151,5.37145209538829e-13
"PAPSS2",2.66616940002403e-17,0.62673145514035,0.248,0.159,5.75226048055185e-13
"ENSG00000228434",2.70678774857142e-17,-0.993983708836299,0.079,0.148,5.83989456754283e-13
"CCNB2",2.76556667626918e-17,-1.21709104725695,0.026,0.075,5.96671010405075e-13
"PLXNA2",2.83241768352893e-17,1.19447426011509,0.109,0.05,6.11094115221367e-13
"EEF1AKMT1",2.88120801598987e-17,-1.19176286731092,0.047,0.105,6.21620629449813e-13
"PINX1",2.94300117939167e-17,-1.02304624425416,0.07,0.136,6.34952504453753e-13
"SLAMF6",2.98099394730569e-17,0.886351964752762,0.179,0.104,6.43149444131203e-13
"RFC5",3.02562665106237e-17,-1.59495875394525,0.025,0.073,6.52778949966706e-13
"MTO1",3.04483246320737e-17,-1.00017317073845,0.077,0.145,6.56922603936989e-13
"ZCCHC8",3.04504754063948e-17,-0.699860937245977,0.141,0.225,6.56969006892967e-13
"MTG1",3.07030620001172e-17,-0.785553092322882,0.116,0.196,6.62418562652528e-13
"CCP110",3.1632174883286e-17,-0.888189629256042,0.092,0.165,6.82464173106895e-13
"LINC02899",3.17935411379335e-17,-1.63560073844259,0.018,0.061,6.85945650050915e-13
"GDF15",3.20727345741131e-17,2.10589654681168,0.07,0.024,6.9196924843649e-13
"ARHGDIB",3.31206851839993e-17,0.387179852519901,0.754,0.662,7.14578782844784e-13
"TIMM13",3.36956871102828e-17,-0.805525739884906,0.124,0.204,7.26984449404352e-13
"DPY19L3",3.37801035218544e-17,-0.904417496870393,0.099,0.174,7.28805733484008e-13
"MAPKAPK2",3.46273343364458e-17,-0.717411989328165,0.19,0.278,7.47084738308818e-13
"AP3B1",3.491004901066e-17,-0.284855568822489,0.745,0.765,7.53184307404989e-13
"RPS7",3.71694216964468e-17,0.499821064400028,0.78,0.707,8.01930273100839e-13
"DDX55",3.75697359699269e-17,-0.852831454663263,0.106,0.182,8.10567053551172e-13
"ZNF410",3.8515336668887e-17,-0.736840718205757,0.126,0.207,8.30968388631238e-13
"ZNF619",3.88699475201504e-17,6.23229572555006,0.023,0,8.38619117747245e-13
"ZNF502",3.88723386999009e-17,6.29039868011363,0.023,0,8.38670707450362e-13
"MORN4",3.88723434538761e-17,6.25192453229899,0.023,0,8.38670810017377e-13
"GGACT",3.88768885051147e-17,6.32787338553229,0.023,0,8.3876886949785e-13
"RIOX1",4.03345152080954e-17,-6.20545634677354,0,0.024,8.70217165614658e-13
"NOP14-AS1",4.03373259415476e-17,-6.22431537402486,0,0.024,8.70277807188889e-13
"APBA3",4.03373271059324e-17,-6.20545634677354,0,0.024,8.70277832310491e-13
"NOP16",4.05038516298124e-17,-1.17562111723278,0.043,0.099,8.73870598913202e-13
"IFI6",4.20085240810561e-17,0.909072041252846,0.175,0.101,9.06333907048786e-13
"ILK",4.22422873045018e-17,0.815480510234949,0.204,0.125,9.11377348594626e-13
"TCF7L2",4.28523963741304e-17,-0.537039480455498,0.29,0.388,9.24540451771864e-13
"CPM",4.33647525981203e-17,0.48619956969988,0.34,0.242,9.35594537304446e-13
"HAT1",4.47601092982132e-17,-0.792628745870464,0.123,0.203,9.65699358108949e-13
