"sample_id","0","1","2","3","4","5","6","7","8","9","10","11","13","12"
"P2_T11_noStroma_noAraC",1190,395,25,86,308,7,28,14,482,101,130,141,92,0
"P2_T12_noStroma_AraC",59,356,79,191,173,692,482,462,1,181,102,116,17,1
"P2_T15_Stroma_noAraC",837,487,429,211,218,5,42,2,3,72,110,53,108,62
"P2_T16_Stroma_AraC",26,341,617,284,46,4,29,10,0,112,70,10,19,220
