"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",122,0.666981389889412,1.98437849746028,5.73841316846838e-07,1.4346032921171e-05,1.26849133197722e-05,917,"tags=34%, list=7%, signal=32%","CCN1/GREM1/MMP3/COL1A2/LOX/TNC/DPYSL3/FERMT2/MYL9/ECM2/MMP1/CALD1/NT5E/COL6A2/FN1/TFPI2/FGF2/AREG/SERPINE1/PRRX1/SERPINE2/CXCL8/WNT5A/ENO2/PCOLCE/ABI3BP/SLIT2/FSTL1/TGM2/TPM2/PLOD2/TGFBR3/INHBA/TIMP1/EFEMP2/JUN/GJA1/IL32/TGFBI/SLC6A8/VCAN/TNFRSF12A"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",155,0.619126879096384,1.89929197343173,4.56489194820343e-07,1.4346032921171e-05,1.26849133197722e-05,1336,"tags=32%, list=10%, signal=29%","CCN1/STC1/MAFF/GALK1/STC2/ALDOC/LOX/EGFR/PPP1R3C/SERPINE1/CAV1/ATF3/ENO2/CP/DDIT4/TIPARP/TGM2/ADM/NFIL3/CDKN1C/BTG1/PLIN2/ERRFI1/IER3/JUN/FOSL2/DDIT3/CA12/TPBG/PNRC1/TGFBI/GAPDH/PLAUR/CAVIN3/CHST2/ANKZF1/PPP1R15A/MIF/SAP30/BNIP3L/CDKN1B/MXI1/PGK1/PRDX5/VLDLR/ERO1A/SDC2/TPI1/PDK1/KLHL24"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",180,0.474272388015963,1.46908685844477,0.00148333959035768,0.0247223265059613,0.0218597413315868,1154,"tags=26%, list=8%, signal=24%","CCN1/MAFF/DNAJB4/TNC/AREG/OLR1/SERPINE1/PLK2/HBEGF/NAMPT/G0S2/GPR183/IFIT2/ATF3/HES1/PHLDA1/SERPINB2/TIPARP/LAMB3/DUSP4/NFIL3/MXD1/BTG1/ETS2/SLC16A6/NINJ1/INHBA/IER3/JUN/ICOSLG/FOSL2/CXCL3/ABCA1/KYNU/IL1A/IL1B/PNRC1/PHLDA2/NR4A1/TGIF1/IL7R/PLAUR/TRIP10/PPP1R15A/KLF10/EIF1/CXCL2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",189,-0.527169987747117,-1.49454568461036,0.00271424420301575,0.0339280525376969,0.0299995411912267,3777,"tags=44%, list=27%, signal=33%","SASS6/ARHGDIA/APC/SUN2/ALMS1/MYO9B/CENPF/PXN/SPTBN1/SMC4/NUSAP1/RACGAP1/TOP2A/KNTC1/KIF22/ARHGEF2/TPX2/BIRC5/CAPZB/NDC80/BIN1/EPB41/PDLIM5/TBCD/MAP3K11/TUBA4A/CDC42EP4/BUB1/PLEKHG2/DLGAP5/DYNC1H1/TTK/KIF20B/KIF23/LMNB1/OPHN1/ECT2/ARHGAP4/TUBGCP5/KIF15/KIF2C/FBXO5/EPB41L2/TIAM1/ARHGAP27/ABL1/ACTN4/FSCN1/PCNT/SAC3D1/ANLN/ARHGEF11/ARHGEF3/PLK1/FGD6/KIF11/FLNA/RASAL2/SEPTIN9/INCENP/RAPGEF5/DYNLL2/DOCK4/CENPE/KIF4A/CEP131/SMC1A/BCR/KIF3C/TAOK2/MARCKS/ABR/GSN/ARHGAP10/ITSN1/ESPL1/PIF1/PALLD/MYO1E/FARP1/CDC42EP2/KATNB1/CYTH2/TUBGCP6"
