"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME","GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME","GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME",104,-0.562041612332307,-1.76089137506191,0.000144690637617133,0.00898330025008013,0.00875646303658556,2572,"tags=39%, list=18%, signal=33%","ZWILCH/CENPQ/SLF1/GNL3/ZMYND8/CENPA/TNRC18/RNF4/BRD3/RCC2/H4C5/XRCC4/PINX1/TOPBP1/JARID2/GNL3L/SPDL1/PIAS4/CTCF/CBX5/MTBP/ESCO2/H2AX/CDK2/H2AC4/VRK1/MMS22L/CDK1/EZH2/TTK/PLK1/MCM8/KNTC1/KNL1/AURKB/UHRF1/BUB1B/HASPIN/H2AC8/H4C4/TONSL"
"GOBP_CHROMOSOME_SEPARATION","GOBP_CHROMOSOME_SEPARATION","GOBP_CHROMOSOME_SEPARATION",88,-0.588250008690496,-1.80148764223064,0.000172433182020165,0.0105038522850312,0.0102386196292181,2107,"tags=49%, list=15%, signal=42%","KLHL22/TOP3A/NCAPD3/MAD1L1/ANAPC5/GEN1/SPDL1/CDK5RAP2/ZWINT/UBE2C/NCAPD2/CCNB1/SMC4/INCENP/SMC2/MAD2L1/NUF2/TTK/NDC80/BIRC5/DLGAP5/SKA1/BUB1/FBXO5/NCAPG2/XRCC3/PLK1/CDC20/CDCA8/KNTC1/NCAPG/KNL1/CENPF/SPC25/AURKB/NCAPH/SPC24/ESPL1/SKA3/BUB1B/TRIP13/HASPIN/MAD2L1BP"
"GOBP_ERYTHROCYTE_DEVELOPMENT","GOBP_ERYTHROCYTE_DEVELOPMENT","GOBP_ERYTHROCYTE_DEVELOPMENT",42,-0.698026182457814,-1.84879785022005,0.000214229396693756,0.0128686408430625,0.0125436949379897,910,"tags=26%, list=6%, signal=25%","TRIM58/DMTN/GATA1/DIAPH3/HBD/HBG2/HBB/RHAG/TAL1/HBA1/HBG1"
"GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS",247,-0.464891031890261,-1.64053572614381,0.000224358883235103,0.0131783981298323,0.0128456305469981,3182,"tags=37%, list=22%, signal=29%","HSP90AA1/PCNA/TOP2B/HNRNPA1/INO80/TMEM161A/MAPK1/PRKD2/MAPKAPK5/SMARCD3/PMS2/SMARCD2/SMARCA2/DHX9/ARID1B/HNRNPD/SLF1/POLG2/RNF168/KCTD13/SMCHD1/MAP3K4/GNL3/UIMC1/SLX4/NVL/HMGB1/MAP2K7/DYRK1A/SHLD1/RFC4/SKP2/SPIDR/TRRAP/WRN/FUS/ARID2/EP400/WRAP53/RTEL1/ERCC2/SMARCA4/RUVBL2/RFC2/PIAS4/SMARCC1/PRKCQ/USP1/DBF4/TRIM28/FAF1/KMT5C/BAZ1A/ARID1A/PAXIP1/E2F7/MYC/H2AX/DKC1/CDK2/BCL7A/RAD51AP1/RIF1/DBF4B/VEGFA/NEK2/RFC5/MSH2/RFC3/WEE1/CCNA2/DDX11/PRKDC/CDK1/NSD2/FANCB/TIMELESS/E2F8/ATAD5/BRCA1/FOXM1/DSCC1/AURKB/DNA2/CDT1/CDC7/CDC25A/CLCF1/CHTF18/INO80E/EXOSC6"
"GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR",299,-0.445249271285914,-1.59314192483201,0.000226580258316638,0.0131783981298323,0.0128456305469981,2756,"tags=38%, list=19%, signal=31%","RAD52/SMARCD2/PALB2/SMARCA2/ZBTB7A/HMGA2/ARID1B/ATP23/SLF1/RNF168/NHEJ1/XRCC6/LIG3/DCLRE1A/SMCHD1/UIMC1/SLX4/ZMYND8/RAD51B/RMI1/CHD4/HMGB1/POGZ/TOP3A/DYRK1A/SHLD1/TENT4A/SKP2/SPIDR/FIGNL1/TDP1/TRRAP/BRCA2/WRN/HELB/FUS/ARID2/XRCC4/FANCM/TOPBP1/CGAS/EP400/WRAP53/RTEL1/NUCKS1/SMARCA4/MTA1/GEN1/RUVBL2/PIAS4/SMARCC1/RBBP8/PRPF19/KMT5C/PDS5B/ARID1A/ESCO2/H2AX/HMGB2/CHEK2/PPP5C/RAD51D/BCL7A/RAD51AP1/RMI2/RIF1/ZGRF1/RAD54B/MSH2/RFWD3/TEX15/DDX11/PRKDC/MMS22L/GINS4/NSD2/FANCD2/MCM5/MCM7/MCM3/MCM6/CDCA5/POLA1/FANCB/PARPBP/TIMELESS/GINS2/BLM/XRCC3/PLK1/MCM8/EME1/DMC1/MCM2/FEN1/BRCA1/CHEK1/FOXM1/BRIP1/DNA2/RAD54L/POLQ/UHRF1/HELLS/CDC7/RAD51/MCM4/TRIP13/XRCC2/CDC45/AUNIP/ANKLE1/TONSL/RECQL4"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE",401,0.386767509877995,1.49631657749061,0.000228527135199404,0.0131783981298323,0.0128456305469981,2103,"tags=31%, list=15%, signal=27%","SIT1/PARP3/ASCL2/HLA-DOB/LAX1/IGLC2/HLA-DPA1/IGKC/CD1C/GZMM/CD1A/IGLC3/HLA-DRB1/TREM2/C1QC/FCER1G/C1QB/CTSL/HLA-DMA/C1QA/HLA-DPB1/KLRK1/B2M/CD70/CD79A/TRAC/HLA-DQB2/CD74/HLA-DMB/HLA-DQA1/CD3D/IGHD/CD7/FCGR3A/HLA-DRA/CTSS/LGALS1/HLA-DQB1/HLA-DRB5/FCGR2B/TRBC2/CTLA4/PSMB8/CRTAM/FGL1/LILRB2/CTSC/LILRB4/TRBC1/CD3G/IL7R/EMP2/CD40/PYCARD/TNF/HLA-F/FCGR1A/C9/PSMB10/FCER1A/IL10/HFE/CLEC7A/SLAMF7/IL4I1/PSMB9/LTA/TNFSF13/HLA-C/LY9/FCGR2A/FCMR/C3/CLEC4A/CCR6/C2/LILRB1/IGHM/PSMA2/FCRLB/RIPK3/CD81/IRF7/CD3E/CTSH/TNFRSF14/HLA-DOA/PSMB1/LILRA1/IL27/CD27/CD79B/SLAMF6/LIG4/IL6/GPR183/CD86/IL18BP/TLR8/HLA-E/FCER2/CD84/HLA-G/PSMB3/HAVCR2/PDCD1LG2/CADM1/LIME1/TRPM4/MYD88/IL18/TNFRSF21/CD40LG/ZC3H12A/HLA-B/ICAM1/MPEG1/FCGR1BP/PSMA6/HPX/PRDM1/CD274/TNFRSF13C"
"GOBP_CELL_CYCLE_DNA_REPLICATION","GOBP_CELL_CYCLE_DNA_REPLICATION","GOBP_CELL_CYCLE_DNA_REPLICATION",43,-0.692416156740641,-1.83621066757998,0.000263353081141796,0.0149868694202403,0.014608436149209,1783,"tags=63%, list=12%, signal=55%","BRCA2/WRN/RTEL1/DBF4/TIPIN/LIG1/E2F7/GMNN/DACH1/DBF4B/TK1/MCM3/MCM6/POLA1/FBXO5/BLM/E2F8/ATAD5/MCM2/FEN1/GINS1/DNA2/CDT1/CDC7/RAD51/MCM4/CDC45"
"GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING","GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING","GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING",129,-0.529531290697329,-1.71684028375288,0.000270959832664776,0.0152194970944826,0.0148351897446675,2332,"tags=41%, list=16%, signal=35%","PTPN11/GIGYF2/FZR1/UIMC1/DONSON/RAD1/BRD4/RFC4/RNASEH2B/TTI1/INTS7/BRCA2/TOPBP1/MAPK14/FBXO31/RFC2/DBF4/PRPF19/TIPIN/MUC1/MAP3K20/H2AX/CHEK2/DOT1L/CDK2/TELO2/BARD1/RFC5/MSH2/RFC3/RFWD3/PRKDC/CDK1/FANCD2/TIMELESS/BLM/PLK1/EME1/BRCA1/WDR76/CHEK1/BRIP1/DNA2/CDT1/CLSPN/E2F1/CDC7/RAD51/ORC1/DTL/TICRR/CDC6/CDC45"
"GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS","GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS","GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS",115,-0.546987376298564,-1.74484656761254,0.000333875800102635,0.0182786434866316,0.0178170896657036,1004,"tags=19%, list=7%, signal=18%","RACGAP1/INCENP/CEP55/NUSAP1/KIF20B/RAB11FIP3/KIF23/BIRC5/CENPV/PLK1/CDCA8/SPTBN1/KIF20A/KIF4A/AURKB/IQGAP3/ESPL1/CIT/ANLN/SEPTIN5/SNX33/ALKBH4"
"GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE","GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE","GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE",191,-0.470600713421683,-1.60010195710628,0.000333868597923345,0.0182786434866316,0.0178170896657036,2332,"tags=31%, list=16%, signal=26%","FZR1/UIMC1/DONSON/RAD1/BRD4/CRADD/DYRK1A/RNASEH2B/TTI1/INTS7/PMAIP1/SOX4/BRCA2/TOPBP1/NDRG1/USP10/CASP2/MAPK14/FBXO31/DBF4/PRPF19/TIPIN/MUC1/MAP3K20/PAXIP1/E2F7/H2AX/CHEK2/DOT1L/CDK2/DYRK3/TELO2/BARD1/MSH2/RFWD3/PRKDC/CDK1/FANCD2/TIMELESS/BLM/GTSE1/PLK1/ATAD5/EME1/BRCA1/WDR76/CHEK1/FOXM1/BRIP1/CLSPN/E2F1/CDC7/RAD51/DTL/TICRR/PIDD1/MAPK12/TFAP4/CASP9"
