"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATG4A",0.447452762737503,0.0145651701001599,0.047,0.052,1
"ENSG00000261460",0.447474015246585,-0.109241031514238,0.022,0.025,1
"METTL21A",0.44750809295493,0.189275234107849,0.094,0.089,1
"ZNF354B",0.447707116766458,0.130623299563736,0.066,0.061,1
"SELENOS",0.448077383894073,0.0202050151240716,0.201,0.212,1
"C2orf92",0.448097716908161,-0.123632123819861,0.022,0.025,1
"CDKN2D",0.448262832110911,0.207854164607983,0.077,0.072,1
"ENSG00000288819",0.448456780429432,0.227558893434358,0.012,0.01,1
"KDM5B",0.448520866937865,-0.0270139336512401,0.369,0.387,1
"CXCL5",0.448829536315605,1.70336211038037,0.675,0.718,1
"FAM177A1",0.44888245791342,0.216326258664477,0.15,0.145,1
"PDRG1",0.449008396431218,0.177537410900705,0.071,0.066,1
"ZNF470",0.449206941814179,-0.082296369152429,0.022,0.025,1
"TIGD2",0.449263027283685,0.158955079435334,0.02,0.017,1
"GTF2E1",0.449994819434372,0.169693169614392,0.097,0.091,1
"P2RY10",0.450274168019432,0.378313440682149,0.045,0.041,1
"OTUD4",0.45041750358532,0.0065336244822376,0.189,0.2,1
"POT1",0.450522859390233,0.16032386041172,0.18,0.174,1
"EME1",0.450818750037606,0.217280106660142,0.031,0.027,1
"ZNF24",0.451183723005889,0.113458932610055,0.17,0.164,1
"SRP68",0.451413109760621,0.0459149416338902,0.117,0.125,1
"NRL",0.451754922253303,-0.105016445652513,0.018,0.021,1
"ZDHHC15",0.451831703633495,-0.103086418554113,0.023,0.027,1
"RANBP9",0.452128389905655,0.101926495321826,0.387,0.388,1
"EIF2S3",0.452391235323103,0.0335208975905241,0.351,0.371,1
"ARMC10",0.452701720723896,0.104458837605261,0.178,0.172,1
"TEX264",0.452946615228778,0.146646820397799,0.102,0.096,1
"RAB4A",0.453234129737507,0.13424741676285,0.199,0.194,1
"NUP37",0.453399089992966,0.119198711290753,0.109,0.103,1
"NUP42",0.453406845830443,0.0430704169552492,0.183,0.194,1
"SLC41A1",0.454829723658449,0.316940467566121,0.019,0.016,1
"TST",0.455001303561771,0.147015466123809,0.053,0.049,1
"ARFGEF1",0.455025356487623,-0.00614591919930198,0.568,0.586,1
"ADPGK",0.455195390960488,0.00153564344032953,0.325,0.34,1
"FAM76A",0.45527505313358,0.000778218370083739,0.081,0.087,1
"LAPTM4B",0.455502666014944,-0.0724380765412556,0.162,0.169,1
"GUCY1A2",0.455526122122091,0.953164625436015,0.01,0.008,1
"HAUS4",0.455734146627201,0.0279323938379883,0.082,0.088,1
"FBXW4",0.455745041204498,0.176279022223232,0.24,0.237,1
"NARS1",0.455751681986565,0.0404384467003809,0.33,0.349,1
"TMEM209",0.45601999621137,-0.0322290413787818,0.12,0.127,1
"CYP1B1",0.456127031305355,-0.141686614185537,0.471,0.495,1
"EFCAB8",0.456327372418958,0.233399772023419,0.011,0.009,1
"USP48",0.456370488118552,0.0713172111862374,0.576,0.576,1
"BUB3",0.456531790179867,0.0241718098854182,0.16,0.169,1
"FBXL20",0.457038081521831,0.0276416098578196,0.392,0.414,1
"AKIRIN2",0.457075378525406,0.0967909585309927,0.219,0.212,1
"LAMC1",0.457692097701026,0.11628509091295,0.193,0.186,1
"ENPP5",0.457716446873449,0.291405375458983,0.01,0.008,1
"MFF-DT",0.457861600393754,-0.10239097624569,0.017,0.019,1
"SHKBP1",0.458075519275792,0.074166756636473,0.096,0.103,1
"SWT1",0.458241630465072,0.249707830988953,0.105,0.1,1
"GATA1",0.458278865443036,-0.0785442342913214,0.017,0.019,1
"CXCL13",0.45842528566518,-1.00645261116892,0.011,0.009,1
"NBN",0.458449449802378,0.162592453388581,0.242,0.238,1
"ELK3",0.4584684774257,0.0594775919757338,0.198,0.21,1
"IRF4",0.4584980565329,0.144412732167137,0.019,0.016,1
"BBLN",0.458656274494594,0.188021862512725,0.13,0.125,1
"ENSG00000290453",0.45880140597812,-0.0111449490057356,0.081,0.087,1
"C3orf20",0.459447579651626,0.273495177601217,0.038,0.034,1
"PSMD6-AS2",0.459489021348341,-0.0875893738943292,0.055,0.06,1
"CA11",0.459847916832648,-0.112491566214659,0.01,0.012,1
"ZNF580",0.460099462726302,-0.0558687963234248,0.059,0.064,1
"ELOA",0.460316504400247,-0.0128112688311455,0.116,0.123,1
"QSOX2",0.460337552317046,-0.0610870372147758,0.064,0.069,1
"NDUFV1",0.460389639228224,0.088452834946223,0.168,0.161,1
"CRYBB2P1",0.460798615934512,-0.0250366230235541,0.168,0.176,1
"PSMD2",0.4608487316181,0.161626063190735,0.192,0.188,1
"RIOK2",0.461026826803487,0.16979366033577,0.097,0.091,1
"HNRNPD",0.461139509680897,0.00344238306743183,0.677,0.657,1
"ADAL",0.461207613321448,-0.0281707117762027,0.056,0.061,1
"ENSG00000263745",0.462026810819938,0.254879499433869,0.009,0.011,1
"RWDD3",0.46214815281903,0.184490171542472,0.105,0.1,1
"PRH1",0.462192644137155,-0.0692664207033111,0.061,0.066,1
"ADAMTS17",0.462378967040218,-0.0198683269637145,0.01,0.012,1
"LYPLAL1-DT",0.46276186851603,0.340609373459754,0.023,0.021,1
"RHOB",0.462893252946127,0.372935260955582,0.012,0.014,1
"MYC",0.462924578140106,0.433339633067846,0.14,0.136,1
"SYTL2",0.462979889497921,0.454097231299752,0.023,0.02,1
"CBX4",0.46299142117558,0.167108093314235,0.108,0.103,1
"PLCXD2",0.463177938896539,-0.0619477237606274,0.031,0.035,1
"LINC00654",0.463342307645404,-0.0733075859251757,0.015,0.018,1
"RBM22",0.463362368632838,0.184490171542472,0.141,0.136,1
"ZNF320",0.463374573582948,0.0346419628010954,0.066,0.071,1
"ZNF646",0.463475794038337,0.212324379739198,0.054,0.05,1
"SLFN5",0.464442393264037,0.00826793163895001,0.128,0.136,1
"SNHG8",0.464820153165918,0.0827602845786455,0.131,0.139,1
"SNX30",0.464991775119381,-0.0503019397119797,0.198,0.206,1
"HLA-DRB6",0.465017177751311,0.193242645551435,0.129,0.124,1
"NCBP2",0.465728811815715,0.0196454763436262,0.218,0.229,1
"SPOPL",0.465768453913935,0.0936193591186849,0.322,0.319,1
"CDC14B",0.466071549722114,-0.0615535178586217,0.074,0.08,1
"ENSG00000283103",0.46631031023396,-0.163433131877835,0.024,0.027,1
"NR4A2",0.466453911122112,-0.0254328978317595,0.026,0.029,1
"SEC61B",0.466512761167867,0.163372501811978,0.222,0.218,1
"ZNF484",0.466667901706742,0.00201211975707505,0.059,0.064,1
"CCNK",0.466668266200709,0.0868416075358229,0.222,0.215,1
"NBPF26",0.467301601503086,-0.149928867528087,0.024,0.027,1
"METTL23",0.467539340234106,0.160037127817933,0.08,0.075,1
"CPNE4",0.467886981137523,-0.803231498679092,0.019,0.022,1
"REXO5",0.46813473307392,-0.0369521707073592,0.073,0.078,1
"LSM2",0.468256980777485,0.068681718891856,0.105,0.112,1
"RAD50",0.468286611743117,0.0613901157133752,0.296,0.312,1
"AIMP2",0.468414852744851,-0.0369521707073592,0.072,0.078,1
"DVL3",0.468452261905464,0.168851047764881,0.122,0.116,1
"SETDB1",0.468735720894588,0.146900588149397,0.2,0.195,1
"SUGT1",0.468872500318577,0.137585706951902,0.21,0.206,1
"PAK2",0.469033234842899,0.0250583529078678,0.753,0.773,1
"EIF5A2",0.469034584105846,-0.144817453710488,0.028,0.031,1
"HPF1",0.469063797447229,0.231538744346903,0.119,0.114,1
"CAND1",0.469275601446538,0.0850485183272738,0.294,0.289,1
"CLASP2",0.469382610822744,0.0238729123263875,0.54,0.568,1
"KCTD21-AS1",0.469770745901771,-0.1109657119837,0.03,0.033,1
"LONRF1",0.469996323488993,0.188752198396632,0.107,0.102,1
"DCP1A",0.470311587638073,0.0427339629101819,0.328,0.346,1
"HECW2",0.471079041546654,-0.0993027944581204,0.014,0.016,1
"COIL",0.471114273704692,-0.0227032149690793,0.087,0.093,1
"DCK",0.471340072677567,0.0917797977276984,0.079,0.074,1
"ATP1A1-AS1",0.471428128916821,0.196768501320908,0.038,0.034,1
"DDX43",0.471794352885924,6.56004050441084e-05,0.02,0.023,1
"TARDBP",0.47188684609275,-0.0107188695030405,0.236,0.246,1
"ENSG00000290989",0.472596977752002,0.112597253060687,0.094,0.089,1
"NEDD9",0.472726506581414,-0.0638850561017774,0.26,0.272,1
"ZNF347",0.473169111453404,0.27612064700804,0.063,0.059,1
"ORAI1",0.473721429806697,-0.0114300384327848,0.143,0.151,1
"CGREF1",0.473854561616256,0.368914742679899,0.017,0.014,1
"RC3H2",0.473856893047693,0.0737931161660579,0.337,0.357,1
"PDE2A",0.474169311398547,0.100097984252099,0.029,0.026,1
"TM9SF3",0.474421949137209,0.0777622576484075,0.513,0.521,1
"FCGR2C",0.474611330764169,-0.323204527252944,0.268,0.265,1
"EPM2AIP1",0.474752942292127,0.133982269831942,0.136,0.131,1
"ENSG00000290683",0.475113743936949,0.0930211255322457,0.18,0.174,1
"AKT1",0.47528365426615,-0.0249631940864781,0.096,0.102,1
"DET1",0.475720290439107,0.150274456204559,0.082,0.077,1
"ENSG00000255621",0.47645744763129,-0.0861574184011973,0.021,0.024,1
"DHX8",0.476622352145675,-0.0291277729171577,0.19,0.199,1
"OGFOD3",0.477281145447214,-0.0213705259040879,0.056,0.06,1
"TM2D3",0.477581014780672,0.184490171542472,0.074,0.07,1
"ENSG00000241073",0.477969208946221,-0.230547327736373,0.014,0.016,1
"ZNF74",0.477969208946221,-0.230547327736373,0.014,0.016,1
"RNF43",0.478093143046012,0.147015466123809,0.011,0.013,1
"CCDC127",0.47824392640187,0.16332556154443,0.068,0.063,1
"ELP3",0.478470036776945,-0.00937784030454081,0.221,0.231,1
"WT1",0.478642425219527,-0.178079907842237,0.014,0.016,1
"ARHGEF7",0.478907328796134,0.114349777314169,0.308,0.308,1
"CKB",0.479067802923148,0.210962382903663,0.017,0.014,1
"DHRS1",0.479180967734731,0.184490171542472,0.037,0.034,1
"SENP8",0.479609682138049,0.0469866477925365,0.016,0.018,1
"STRN3",0.479718058216303,0.0698603521151154,0.63,0.636,1
"ENSG00000278730",0.479728939956243,-0.0207349666491066,0.054,0.058,1
"CASP7",0.479811175721742,-0.0219607059249545,0.062,0.067,1
"CEPT1",0.480014994452901,-0.0289134665667214,0.243,0.253,1
"GPX7",0.480051706606824,0.22957806107101,0.022,0.02,1
"TMEM126A",0.480057094206605,0.196981115725668,0.041,0.037,1
"MOSPD1",0.480886667980471,-0.190189590120231,0.052,0.056,1
"NAXD",0.480933582383397,0.151885506110545,0.061,0.056,1
"RBM26",0.481418369266844,0.024361889916973,0.57,0.599,1
"ENSG00000249806",0.481727177080171,0.305796467764605,0.041,0.037,1
"SLC35A3",0.481944021026237,0.138812597147827,0.217,0.213,1
"QTRT2",0.482098420335811,0.149348365422215,0.119,0.113,1
"HCG25",0.482389647749415,-0.0956177476502633,0.014,0.016,1
"C12orf42",0.482610992587124,0.0690129541225355,0.022,0.025,1
"ENSG00000283839",0.483045680876289,0.156833828639606,0.053,0.049,1
"PRKAB2",0.483255354661041,0.184490171542472,0.07,0.066,1
"HIF1AN",0.483259272486142,0.171779119792918,0.145,0.14,1
"ZNG1E",0.48335742027124,0.112852297453815,0.093,0.088,1
"ZNF624",0.483646862810955,0.221964876961136,0.041,0.037,1
"CSRP1-AS1",0.484052022612361,0.206857984570926,0.083,0.078,1
"TMEM30A",0.484063627899388,0.0547763493265325,0.356,0.379,1
"RBBP9",0.484698260206808,0.241073699908839,0.027,0.024,1
"C2orf88",0.485085609272552,-0.537975852928619,0.014,0.017,1
"ENSG00000286415",0.485224939967881,0.313773188487438,0.022,0.019,1
"JMJD7",0.485467597368311,-0.146155140445999,0.023,0.026,1
"CDIPT",0.485503385878767,0.137184456764115,0.092,0.087,1
"CCDC9",0.485650866449867,0.240633249580005,0.044,0.04,1
"NANP",0.485655751742756,-0.0403832392977312,0.028,0.032,1
"LINC01176",0.485774839745238,-0.129618418885591,0.039,0.042,1
"NCOA4",0.486037839441612,0.00575826606568941,0.387,0.405,1
"CCDC57",0.486137413007053,-0.0118620477310842,0.181,0.189,1
"TMEM170A",0.486313473686874,-0.038635512854686,0.094,0.1,1
