"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION","GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION","GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION",486,0.452998471696891,1.5125020415279,9.11347569261448e-06,0.000480269188909587,0.000415509766835118,1482,"tags=16%, list=11%, signal=15%","GREM1/PRKG1/ADAMTS1/IGFBP6/CDH13/IL24/ACKR3/NR2F2/TSC2/FBLN1/SFRP1/SERPINE2/IGFBP3/EFEMP2/PTGES/SNAI2/CAV1/FAP/SH3BP4/NFIB/FGF2/TGFB1I1/TGFB2/LDOC1/TFAP4/MSX1/NKX3-1/KCNK2/CAV2/TBX3/PTPN14/SCG2/HES1/DDAH1/MAGI2/INHBA/TPBG/F2R/CXCL8/IL1A/THBS1/WNT5A/IL1B/DLC1/IGF1/TGFBR3/ANG/SDC4/IFIT3/ITGA1/SPINT1/ARG2/BTG3/BTG1/IL6/CDKN1C/FUZ/ACVR1C/SPARC/SPIN4/DLG3/KLF9/CCN3/CD9/COPS8/CDKN1B/SPRY1/CDKN3/IFITM1/TGIF1/ING1/GATA2/RUNX3/JUN/PDPN/E2F7/ACVRL1/MYC/TPM1/CDC6"
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",307,0.500108802892724,1.61270500140218,9.59616684213113e-06,0.000499686116279542,0.00043230851876518,1670,"tags=22%, list=12%, signal=20%","GREM1/PRKG1/SERPINB4/PLAT/SERPINE2/SEMA5A/DSG2/SERPINE1/FAP/FGF2/IL13RA2/C1QTNF1/CACTIN/SLIT2/NT5E/MDK/NR1D1/PHLDB2/IL1RN/SERPINB2/PTPRS/IL1R2/IL1A/THBS1/WNT5A/IL1B/EPHA4/PF4/PBK/IER3/IGF1/THBD/PDGFA/MDGA1/ISG15/MEFV/PPP1R13L/METRNL/MMP12/ARG2/IL1R1/NBL1/PLK2/KREMEN1/TFPI/KLRD1/DPP4/ADTRP/CCN3/CD9/PLAUR/FPR2/OAS3/GPR18/GRID2/CLEC12B/OAS1/TNFAIP6/SOCS3/SIGIRR/SERPING1/TNFRSF1B/SYT11/YES1/GPS2/DVL1/ADORA2A/USP18"
"GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY","GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY","GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY",30,0.834710485043396,1.95895431209573,9.96027909454468e-06,0.000500761617925729,0.000433238999938151,1237,"tags=53%, list=9%, signal=49%","HAS2/LOX/COL3A1/FKBP10/EFEMP2/NTN4/COL1A2/THSD4/COL6A1/TGFBR3/EMILIN1/COL8A1/LTBP4/GAS6/ANTXR1/PXDN"
"GOBP_SENSORY_ORGAN_DEVELOPMENT","GOBP_SENSORY_ORGAN_DEVELOPMENT","GOBP_SENSORY_ORGAN_DEVELOPMENT",338,0.48522716393358,1.58180083176032,9.92306053184978e-06,0.000500761617925729,0.000433238999938151,1701,"tags=23%, list=12%, signal=20%","EGFR/THY1/BMPER/LAMA1/NFIB/FGF2/COL4A1/MFAP2/COL5A1/FZD4/TGFB2/PDE6B/FOXC1/TENM3/MSX1/KCNK2/DCHS1/PRRX1/CTHRC1/EFNA5/TBX3/HES1/TWIST1/WNT5B/FJX1/BMP6/FBN1/INHBA/COL5A2/WNT5A/VEGFA/ALDH1A3/EPHA4/NECTIN3/IGF1/SPRED3/SSPN/SDC4/PPP1R13L/HIF1A/SOX4/GNG8/RCN1/COL8A1/CDKN1C/BCAR3/SPARC/SLC25A27/CDKN1B/SNTA1/TULP3/SPRY1/SMCHD1/NPHP1/PXDN/INSIG1/TGIF1/MKS1/SGCB/CECR2/WHRN/GATA2/SDK2/MYOM1/JUN/PRDM1/PBX1/ACVRL1/MYC/MEIS3/NKD1/DVL1/C12orf57/ECE1/CITED2/RPGRIP1L/BBS10"
"GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE",338,0.485188450404774,1.58167462882566,9.92306053184978e-06,0.000500761617925729,0.000433238999938151,1045,"tags=13%, list=7%, signal=13%","PRKG1/MAP1B/RAB3B/CSF3/PFN2/PRKD1/NEFL/SEMA5A/ABITRAM/BDNF/CAV1/ACTN2/FN1/ABCC9/PDXP/SLIT2/FOXC1/EPHA7/COL6A1/CRABP2/EFNA5/SVEP1/KIRREL1/OLFM1/PTPRS/NCKAP1/F2R/WNT5A/VEGFA/PLXNA4/TNFRSF12A/CTTN/ADM/CPS1/HBB/PLEKHH2/RGS2/CDH4/CDC42EP5/ITGA1/CDC42EP2/IQGAP3/CFL2/EXT1/DMTN"
"GOBP_REGULATION_OF_COAGULATION","GOBP_REGULATION_OF_COAGULATION","GOBP_REGULATION_OF_COAGULATION",48,0.775040888066509,1.93858487593679,1.14794229524376e-05,0.000570579499931386,0.000493642649689152,1183,"tags=42%, list=8%, signal=38%","PRKG1/PLAT/SERPINE2/SERPINE1/CAV1/FAP/C1QTNF1/F3/HS3ST5/SERPINB2/F2R/THBS1/PF4/EMILIN1/THBD/PDGFA/TFPI/ADTRP/CD9/PLAUR"
"GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION","GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION","GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION",241,0.524071169298741,1.65185853544701,1.25420695320974e-05,0.000616393394757236,0.000533279006125253,1055,"tags=14%, list=8%, signal=13%","STC1/GREM1/PRKG1/COL3A1/IL24/NR2F2/THY1/PFN2/GJA1/FBLN1/DCN/SFRP1/IGFBP3/SEMA5A/SERPINE1/FRMD5/FGF2/SLIT2/DPYSL3/PHLDB2/MAGI2/THBS1/WNT5A/EPHA4/DLC1/TGFBR3/RHOB/EMILIN1/NBL1/TIMP1/DPP4/FUZ/ACVR1C/ADTRP"
"GOBP_NEPHRON_MORPHOGENESIS","GOBP_NEPHRON_MORPHOGENESIS","GOBP_NEPHRON_MORPHOGENESIS",36,0.801606073500506,1.93258484310778,1.55387868792001e-05,0.000752824867449058,0.000651314080446506,652,"tags=28%, list=5%, signal=27%","GREM1/HS3ST3A1/GDNF/PKD1/FGF2/FOXD1/IRX3/DCHS1/HES1/VEGFA"
"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA","GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA","GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA",209,0.539723200391772,1.66597650989689,1.56623372057303e-05,0.000752824867449058,0.000651314080446506,1442,"tags=20%, list=10%, signal=18%","LOX/COL3A1/USP9Y/COL1A1/SFRP1/COL4A2/VASN/COL1A2/CAV1/TGFB1I1/TGFB2/TGFBR3L/DKK3/CAV2/FERMT2/LTBP1/HTRA1/FBN1/ID1/THBS1/VEPH1/WNT5A/DDR2/MECOM/TGFBR3/SPRED3/EMILIN1/ATF3/CDKN1C/LTBP4/ITGA3/LTBP2/SPRY1/ING1/ZFP36L2/RUNX3/JUN/SLC2A10/BCL9L/ZFYVE9/ACVRL1"
"GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION","GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION","GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION",46,0.769589264848016,1.90800864387444,1.60354604324166e-05,0.000761446818079465,0.000658773448606762,1010,"tags=28%, list=7%, signal=26%","MAP1B/SERPINE1/NFIB/FGF2/IL31RA/MSX1/YAP1/CDH2/TJP1/HES1/HIF1A/SOX4/EXT1"
