"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOSL1",3.03011159715905e-07,1.16854966774478,0.1,0.06,0.00653746577087064
"ENSG00000282885",3.0407068923471e-07,-1.01254341498403,0.029,0.063,0.00656032512023886
"CPED1",3.06287953697926e-07,-0.632114454633008,0.131,0.186,0.00660816260103274
"LINC01436",3.10335519206387e-07,1.36358817741776,0.04,0.016,0.00669548882687779
"ZMIZ1-AS1",3.12780824402468e-07,1.14336317252849,0.057,0.027,0.00674824628648325
"TMBIM6",3.15951950354907e-07,0.125740908636998,0.742,0.648,0.00681666332890712
"TMOD3",3.16398011789117e-07,0.319315869952176,0.543,0.49,0.0068262871043502
"CD24",3.1808484017564e-07,-1.46167411293128,0.013,0.039,0.00686268042678944
"TOP1",3.20945694803766e-07,0.483744531116686,0.417,0.371,0.00692440336539125
"HPF1",3.21625678092123e-07,0.73341096240943,0.132,0.086,0.00693907400483756
"ILF3-DT",3.28071411157221e-07,1.09068674212463,0.07,0.037,0.00707814069571704
"WBP11",3.28750544525513e-07,0.495917973643332,0.247,0.189,0.00709279299813794
"DTWD2",3.38748732204763e-07,-0.587890826828465,0.088,0.137,0.00730850389731777
"IKBKE-AS1",3.38825586548919e-07,-4.75576799962192,0,0.014,0.00731016202979292
"ENSG00000291121",3.38825586548919e-07,-4.75576799962192,0,0.014,0.00731016202979292
"ENSG00000261544",3.38825586548919e-07,-4.75576799962192,0,0.014,0.00731016202979292
"POLD1",3.38825586548919e-07,-4.75576799962192,0,0.014,0.00731016202979292
"SLC12A5-AS1",3.38825586548919e-07,-4.75576799962192,0,0.014,0.00731016202979292
"ENSG00000287839",3.38833729795576e-07,-4.7881894773143,0,0.014,0.00731033772033955
"ENSG00000291111",3.38833729795576e-07,-4.7881894773143,0,0.014,0.00731033772033955
"ENSG00000290913",3.38833729795576e-07,-4.7881894773143,0,0.014,0.00731033772033955
"ZGLP1",3.38833729795576e-07,-4.81989833704163,0,0.014,0.00731033772033955
"CA11",3.38833729795576e-07,-4.7881894773143,0,0.014,0.00731033772033955
"CLCA4-AS1",3.38841475965794e-07,-4.81989833704163,0,0.014,0.00731050484396201
"RPP14",3.38848795242509e-07,-4.88129888170578,0,0.014,0.00731066275735712
"ZNF473",3.38848834967582e-07,-4.85092523266226,0,0.014,0.00731066361442557
"TIFAB",3.38862232475099e-07,-4.96876172295612,0,0.014,0.00731095266565025
"CCDC85A",3.38898444755304e-07,-5.22707371854751,0,0.014,0.00731173394559569
"ENSG00000288670",3.38939607212595e-07,-4.72260113568672,0,0.014,0.00731262202561174
"ENSG00000289534",3.38939607212595e-07,-4.72260113568672,0,0.014,0.00731262202561174
"ENSG00000272316",3.38939607212595e-07,-4.72260113568672,0,0.014,0.00731262202561174
"ENSG00000287733",3.38939607212595e-07,-4.72260113568672,0,0.014,0.00731262202561174
"ENSG00000288853",3.38939607212595e-07,-4.72260113568672,0,0.014,0.00731262202561174
"STARD4",3.42027657666913e-07,-0.810040198535956,0.037,0.074,0.00737924671416365
"SAMD9L",3.51334478059084e-07,-0.391267893138811,0.225,0.294,0.00758004136412473
"GPAT4",3.51714124399314e-07,0.709244651278678,0.125,0.08,0.0075882322339152
"ALDH2",3.66512541585583e-07,-0.830993799857712,0.053,0.093,0.00790750808470894
"FADS3",3.71192966728616e-07,1.1757320633306,0.062,0.031,0.0080084882571699
"MYBL1",3.79008363780527e-07,1.43793006358063,0.055,0.027,0.00817710544856487
"NSMCE2",3.8236076396413e-07,-0.215639047268991,0.496,0.586,0.0082494334825261
"ST13",3.91720563396089e-07,0.468194641147499,0.417,0.369,0.00845137115527063
